Index,Open,High,Low,Close,Volume,Date
1,24.2,24.35,23.77,24.18,78900,25-Oct-04
2,24.05,25.1,23.96,24.96,92500,26-Oct-04
3,24.55,25.74,24.55,25.72,121100,27-Oct-04
4,25.65,25.77,25.15,25.76,97500,28-Oct-04
5,25.78,25.88,25.25,25.76,162200,29-Oct-04
6,25.71,26.85,25.7,26.8,167800,1-Nov-04
7,26.91,27.84,26.48,27.48,468200,2-Nov-04
8,27.68,28.57,27.45,28.14,352100,3-Nov-04
9,27.81,28.23,27.7,27.96,110400,4-Nov-04
10,28.14,28.52,28.03,28.25,145400,5-Nov-04
11,28.25,28.3,27.4,27.61,115900,8-Nov-04
12,27.97,28.5,27.47,28.13,100000,9-Nov-04
13,28.15,28.65,28.15,28.35,141900,10-Nov-04
14,28.66,28.66,27.8,28.18,56400,11-Nov-04
15,28.29,28.97,28.05,28.86,46800,12-Nov-04
16,28.9,31.37,28.9,30.12,567200,15-Nov-04
17,29.91,30.25,29.25,29.53,176900,16-Nov-04
18,29.65,30.19,29.4,29.92,128100,17-Nov-04
19,29.58,29.84,29.05,29.28,98700,18-Nov-04
20,29.1,29.5,28.67,28.69,95400,19-Nov-04
21,29.04,29.14,28.79,28.99,101500,22-Nov-04
22,29.02,29.45,28.92,29.42,134300,23-Nov-04
23,28.43,28.94,28.1,28.15,235300,24-Nov-04
24,28.09,28.45,28.09,28.37,45700,26-Nov-04
25,28.62,28.66,28.23,28.5,156400,29-Nov-04
26,28.51,28.97,28.51,28.79,144100,30-Nov-04
27,28.8,30.25,28.77,30.04,215800,1-Dec-04
28,30.12,30.28,29.16,29.27,140300,2-Dec-04
29,29.07,29.46,28.6,29,196300,3-Dec-04
30,28.79,29.21,28.79,28.82,66300,6-Dec-04
31,28.6,28.7,27.65,27.75,196100,7-Dec-04
32,27.71,28.22,27.45,28.12,148500,8-Dec-04
33,28.29,28.52,27.82,28.2,60700,9-Dec-04
34,28.3,29.87,28.16,29.64,422700,10-Dec-04
35,29.9,29.9,29.18,29.31,95100,13-Dec-04
36,29.35,29.71,29.13,29.71,113800,14-Dec-04
37,29.53,29.9,29.51,29.61,108000,15-Dec-04
38,29.96,30.39,29.54,29.66,355200,16-Dec-04
39,30.07,30.09,29.67,29.83,68400,17-Dec-04
40,30.21,30.21,29.47,29.56,60800,20-Dec-04
41,29.5,30,29.3,29.54,130000,21-Dec-04
42,29.77,29.77,28.85,28.97,238300,22-Dec-04
43,29.16,29.37,29.08,29.29,48600,23-Dec-04
44,29.66,29.66,28.6,28.94,51900,27-Dec-04
45,28.95,29.29,28.92,29,285000,28-Dec-04
46,29.1,29.18,28.66,28.98,58200,29-Dec-04
47,29.09,29.13,28.9,29.06,242000,30-Dec-04
48,28.95,29.49,28.5,28.81,198500,31-Dec-04
49,28.67,29.08,28,29,321300,3-Jan-05
50,28.89,29.16,28.77,28.99,190300,4-Jan-05
51,28.75,29.1,28.75,29.06,282300,5-Jan-05
52,27.52,30.09,27.18,28.93,1440700,6-Jan-05
53,28.72,29.03,27.58,27.77,434200,7-Jan-05
54,27.54,27.8,26.47,27.15,420000,10-Jan-05
55,27.22,27.48,26.84,27.15,171900,11-Jan-05
56,26.97,27.31,26.54,26.91,234400,12-Jan-05
57,26.72,27.75,26.72,27.27,169000,13-Jan-05
58,27.58,27.58,27.07,27.1,53200,14-Jan-05
59,27,27.75,26.98,27.42,153700,18-Jan-05
60,27.34,27.7,27.33,27.52,123600,19-Jan-05
61,27.46,27.48,27,27.2,155700,20-Jan-05
62,27.3,27.34,26.97,27.05,166200,21-Jan-05
63,27.02,27.1,26,26.11,448800,24-Jan-05
64,26.2,27.06,26.2,26.42,217900,25-Jan-05
65,26.4,26.75,26.13,26.72,156700,26-Jan-05
66,26.73,27.02,26.49,26.5,48500,27-Jan-05
67,26.42,26.78,26.22,26.45,42500,28-Jan-05
68,26.54,27.54,26.54,27.54,116500,31-Jan-05
69,27.66,27.9,27.2,27.42,159600,1-Feb-05
70,27.36,27.37,26.47,26.76,505500,2-Feb-05
71,26.7,27.11,26.7,26.92,80900,3-Feb-05
