Index,Open,High,Low,Close,Volume,Date
1,54.73,55.12,54.29,54.82,2338900,23-Jul-08
2,54.8,54.9,52.54,52.92,3507600,24-Jul-08
3,53.3,53.79,52.89,53.35,1618300,25-Jul-08
4,53.02,53.66,52.67,52.85,1638600,28-Jul-08
5,53.36,54.63,52.77,54.2,2746900,29-Jul-08
6,55.01,55.14,54.26,54.73,2635800,30-Jul-08
7,54.3,54.78,53.88,54.1,2082900,31-Jul-08
8,54.64,54.9,53.4,53.79,2202200,1-Aug-08
9,53.53,53.77,52.84,53.14,2748500,4-Aug-08
10,53.49,54.54,53.37,54.37,3009600,5-Aug-08
11,54.2,55.12,53.87,54.95,2443700,6-Aug-08
12,54.29,54.55,53.63,53.73,2002000,7-Aug-08
13,53.44,53.83,53,53.68,3394600,8-Aug-08
14,53.47,53.85,52.87,53.19,2472200,11-Aug-08
15,52.78,53.34,52.35,52.35,2312600,12-Aug-08
16,52.15,53.22,51.95,52.81,2025700,13-Aug-08
17,52.51,54.1,52.48,54,2377500,14-Aug-08
18,54.3,54.36,53.45,54.09,2134400,15-Aug-08
19,54.67,54.67,52.98,53.34,1446700,18-Aug-08
20,52.46,53.57,52.25,53.39,2330900,19-Aug-08
21,53.03,53.88,53.03,53.63,1742500,20-Aug-08
22,53.11,53.86,53.11,53.53,1669100,21-Aug-08
23,53.5,54.04,53.23,53.47,1173800,22-Aug-08
24,53.43,53.53,52.5,52.59,2165100,25-Aug-08
25,52.35,52.64,51.36,51.72,2801500,26-Aug-08
26,51.77,52.53,51.77,52.24,1478700,27-Aug-08
27,52.66,52.77,52.12,52.5,1143500,28-Aug-08
28,51.9,52.38,51.72,52.21,1055900,29-Aug-08
29,52,52.72,51.8,52.22,2038800,2-Sep-08
30,51.73,52.23,51.37,51.65,2109400,3-Sep-08
31,51.46,51.48,50.33,50.61,3785100,4-Sep-08
32,50.5,50.7,49.75,50.56,3114100,5-Sep-08
33,52.01,52.21,50.56,51.47,4624300,8-Sep-08
34,51.26,51.33,49.5,49.6,3202000,9-Sep-08
35,50.06,50.23,49.04,49.16,3147000,10-Sep-08
36,48.2,49.09,48.12,48.83,4127800,11-Sep-08
37,48.8,49.29,48.18,49.2,3242000,12-Sep-08
38,46.8,48.24,46.11,46.18,4960400,15-Sep-08
39,44.98,47.61,44.45,47.18,7354000,16-Sep-08
40,45.76,46.32,43.49,43.71,9155600,17-Sep-08
41,44.32,47.64,43.11,46.86,5547800,18-Sep-08
42,51.89,53,44.92,48.75,7197600,19-Sep-08
43,48.82,49.34,47.67,47.71,2861900,22-Sep-08
44,47.6,48.05,46.49,46.67,2972100,23-Sep-08
45,47.36,47.36,46.39,46.53,1717900,24-Sep-08
46,47.49,48.89,46.82,48.62,4772600,25-Sep-08
47,47.46,48.45,47.37,48.04,2876800,26-Sep-08
48,47.21,47.21,43.5,44.07,3803700,29-Sep-08
49,44.6,46.8,44.55,46.67,3056300,30-Sep-08
50,46.4,46.83,45.33,46.62,2077000,1-Oct-08
51,45.6,45.69,43.11,43.31,3282700,2-Oct-08
52,43.87,44.63,41.28,41.36,3739600,3-Oct-08
53,39.53,39.53,35.78,37.61,6446700,6-Oct-08
54,36.7,38.26,34.57,34.86,6517500,7-Oct-08
55,30.85,35.34,30.85,33.86,7790200,8-Oct-08
56,35.84,35.84,31.21,31.29,3960500,9-Oct-08
57,28,31.88,27,30.34,5735600,10-Oct-08
58,33.99,36.91,32.1,36.86,4363800,13-Oct-08
59,36.64,38.56,35.14,36.25,5855800,14-Oct-08
60,34.34,34.91,32.07,32.58,3989000,15-Oct-08
61,32.2,32.67,29.84,31.74,4166500,16-Oct-08
62,30.48,33.25,30.48,31.99,4563600,17-Oct-08
63,33.08,33.84,32.12,32.89,2360500,20-Oct-08
64,32.45,32.5,30.89,31.13,2322900,21-Oct-08
65,29.68,29.99,27.02,27.6,5527900,22-Oct-08
66,28.08,28.43,25.8,26.73,4354300,23-Oct-08
67,23.98,25.82,23.25,25.18,5719700,24-Oct-08
68,24.51,26.11,24.51,24.7,3200300,27-Oct-08
69,25.51,28.79,25.37,28.47,5912700,28-Oct-08
70,28.45,30.59,27.44,29.39,5820000,29-Oct-08
71,30.86,31.56,30.4,31.56,4538100,30-Oct-08
72,30.58,31.67,30,30.9,3394100,31-Oct-08
73,30.4,31.9,29.81,31.47,2647400,3-Nov-08
74,32.7,34.48,32.51,33.51,5003800,4-Nov-08
75,32.64,33.28,31.1,33.12,3610900,5-Nov-08
76,30.56,31.4,29.12,29.12,3821200,6-Nov-08
77,29.9,31.28,29.9,30.14,2987900,7-Nov-08
78,32.23,32.23,30.3,30.8,2177184,10-Nov-08
79,30,30.55,29.12,30.3,3109496,11-Nov-08
80,29.41,29.79,28.12,28.15,3410857,12-Nov-08
81,28.3,31.13,27.06,30.48,5662787,13-Nov-08
82,29.32,30.61,29.21,29.49,3771608,14-Nov-08
83,28.58,29.88,28.43,28.65,2019959,17-Nov-08
84,28.2,29.07,28.01,28.64,3107533,18-Nov-08
85,28,28.6,26.64,27.09,2874779,19-Nov-08
86,26.18,27.2,24.82,25.5,4530365,20-Nov-08
87,27.04,27.04,25.04,26.37,4919610,21-Nov-08
88,26.63,28.69,26.63,28.65,5020201,24-Nov-08
89,29,29.41,27.64,28.05,3403689,25-Nov-08
90,27.4,30.11,27.4,30.11,3917978,26-Nov-08
91,29.29,29.89,29.16,29.39,1345258,28-Nov-08
92,27.87,29.08,27,27.3,3769452,1-Dec-08
