Date,Open,High,Low,Close,Volume
20-Aug-10,31.37,31.52,31.19,31.49,13961734
19-Aug-10,32.14,32.27,31.40,31.56,12747867
18-Aug-10,32.15,32.46,31.90,32.30,9785282
17-Aug-10,31.88,32.42,31.88,32.18,11975748
16-Aug-10,31.16,31.64,31.10,31.44,6534619
13-Aug-10,31.33,31.47,31.19,31.30,6186015
12-Aug-10,30.87,31.56,30.86,31.45,11524620
11-Aug-10,31.71,31.74,31.23,31.25,17573544
10-Aug-10,32.33,32.53,32.01,32.34,12725661
9-Aug-10,32.75,32.76,32.48,32.69,6080965
6-Aug-10,32.42,32.84,32.18,32.49,8688096
5-Aug-10,32.43,32.67,32.37,32.64,7035261
4-Aug-10,32.46,32.60,32.26,32.57,5637799
3-Aug-10,32.55,32.56,32.20,32.27,9558479
2-Aug-10,32.52,32.93,32.44,32.87,16477250
30-Jul-10,31.52,32.13,31.42,32.01,8759272
29-Jul-10,32.05,32.33,31.53,31.81,8462751
28-Jul-10,31.78,32.07,31.70,31.84,10534976
27-Jul-10,32.40,32.50,31.80,31.94,9174812
26-Jul-10,32.08,32.20,31.88,32.20,7497112
23-Jul-10,31.37,32.05,31.33,32.01,14681112
22-Jul-10,31.01,31.59,30.95,31.32,16256123
21-Jul-10,31.07,31.23,30.39,30.66,9379801
20-Jul-10,29.43,30.79,29.43,30.76,10507563
19-Jul-10,30.00,30.02,29.55,29.86,7614997
16-Jul-10,30.45,30.60,29.75,29.83,12429011
15-Jul-10,30.73,30.78,30.27,30.67,8285642
14-Jul-10,30.54,30.91,30.37,30.70,8638780
13-Jul-10,30.50,30.89,30.45,30.80,10704981
12-Jul-10,30.41,30.41,29.84,29.99,9439113
9-Jul-10,29.59,30.39,29.59,30.39,9444679
8-Jul-10,29.44,29.68,29.19,29.68,8930769
7-Jul-10,28.10,29.24,28.07,29.20,11851500
6-Jul-10,28.63,28.70,27.80,28.08,10072471
2-Jul-10,-,-,-,28.05,0
1-Jul-10,28.34,28.62,27.67,28.21,16454912
30-Jun-10,28.63,29.06,28.25,28.37,10513567
29-Jun-10,29.18,29.26,28.54,28.66,17029418
28-Jun-10,30.07,30.18,29.68,29.76,12885988
25-Jun-10,29.78,30.24,29.49,30.10,11308014
24-Jun-10,30.20,30.49,29.65,29.66,15760775
23-Jun-10,30.41,30.63,29.92,30.43,10839188
22-Jun-10,31.10,31.30,30.37,30.37,11843290
21-Jun-10,31.50,31.80,30.92,31.14,12072106
18-Jun-10,30.84,31.11,30.83,30.95,9447875
17-Jun-10,31.15,31.21,30.52,30.91,13689908
16-Jun-10,30.89,31.26,30.79,31.08,6365111
15-Jun-10,30.64,31.15,30.53,31.12,7054736
14-Jun-10,30.95,31.06,30.32,30.37,9101057
11-Jun-10,30.01,30.67,29.98,30.67,7978402
10-Jun-10,29.83,30.33,29.78,30.33,10801324
9-Jun-10,29.63,29.97,29.08,29.28,13832974
8-Jun-10,28.74,29.35,28.55,29.24,21834908
7-Jun-10,29.13,29.37,28.57,28.59,12511499
4-Jun-10,29.73,29.97,29.04,29.11,15357314
3-Jun-10,30.95,30.95,29.95,30.31,12639625
2-Jun-10,30.00,30.68,29.90,30.68,8751706
1-Jun-10,30.44,30.81,29.71,29.76,15771050
28-May-10,-,-,-,30.75,0
27-May-10,30.75,31.33,30.35,31.30,14691325
26-May-10,30.65,30.88,30.01,30.11,13437264
25-May-10,29.04,30.40,28.87,30.35,18824573
24-May-10,30.24,30.48,29.85,29.85,13566788
21-May-10,29.15,30.49,29.10,30.37,19505145
20-May-10,30.08,30.42,29.61,29.64,27631486
19-May-10,30.84,31.14,30.35,31.05,23751002
18-May-10,31.87,32.35,31.05,31.05,23404459
17-May-10,31.72,31.91,30.83,31.59,18783437
14-May-10,32.17,32.17,31.32,31.59,20233479
13-May-10,32.79,33.06,32.36,32.38,13343661
12-May-10,32.40,32.88,32.34,32.87,12932986
11-May-10,32.25,32.66,32.14,32.20,14382640
10-May-10,32.39,32.70,32.22,32.61,18037383
