Date,Open,High,Low,Close,Volume
11-Sep-06,11.25,11.71,11.23,11.70,17778700
8-Sep-06,11.46,11.50,11.22,11.42,12472200
7-Sep-06,11.32,11.59,11.19,11.34,15441500
6-Sep-06,11.58,11.69,11.36,11.38,17008100
5-Sep-06,11.80,11.86,11.64,11.72,19327400
1-Sep-06,11.68,11.90,11.60,11.85,16721200
31-Aug-06,11.64,11.73,11.49,11.65,14875900
30-Aug-06,11.47,11.71,11.36,11.64,18137900
29-Aug-06,11.28,11.48,11.18,11.43,14441300
28-Aug-06,11.17,11.38,11.17,11.33,14624700
25-Aug-06,11.16,11.25,11.14,11.23,7893300
24-Aug-06,11.10,11.24,11.07,11.22,11901600
23-Aug-06,11.10,11.18,11.01,11.10,14436300
22-Aug-06,11.06,11.24,11.03,11.14,14846100
21-Aug-06,10.97,11.20,10.89,11.12,15360900
18-Aug-06,11.18,11.18,10.89,11.09,15144900
17-Aug-06,11.07,11.22,10.81,11.13,26843200
16-Aug-06,10.98,11.02,10.73,10.97,22018900
15-Aug-06,10.79,11.00,10.72,10.94,30160600
14-Aug-06,10.33,10.75,10.24,10.67,37721200
11-Aug-06,9.93,10.16,9.92,10.15,32523700
10-Aug-06,9.60,9.95,9.53,9.90,27132600
9-Aug-06,9.70,9.84,9.63,9.65,13231600
8-Aug-06,9.70,9.79,9.58,9.67,17253500
7-Aug-06,9.90,9.93,9.64,9.70,16161600
4-Aug-06,9.86,9.99,9.75,9.93,21439000
3-Aug-06,9.58,9.83,9.57,9.75,23979900
2-Aug-06,9.70,9.76,9.56,9.68,26231200
1-Aug-06,10.06,10.06,9.66,9.72,37950200
31-Jul-06,10.17,10.37,10.14,10.15,13195600
28-Jul-06,10.14,10.30,10.11,10.24,16883900
27-Jul-06,10.23,10.35,10.14,10.14,11637300
26-Jul-06,10.17,10.31,10.09,10.23,16735400
25-Jul-06,10.19,10.37,10.15,10.25,15386900
24-Jul-06,10.31,10.39,10.10,10.31,14774600
21-Jul-06,10.44,10.44,10.10,10.30,27737200
20-Jul-06,10.44,10.52,10.26,10.43,36797100
19-Jul-06,10.16,10.34,10.06,10.34,24218200
18-Jul-06,10.10,10.20,10.00,10.15,27698800
17-Jul-06,9.67,10.20,9.67,10.09,41744300
14-Jul-06,9.86,9.88,9.44,9.83,56936500
13-Jul-06,10.44,10.44,9.84,9.98,31891900
12-Jul-06,10.52,10.52,10.05,10.09,29563700
11-Jul-06,10.33,10.55,10.20,10.50,29429900
10-Jul-06,10.90,11.08,10.32,10.41,64243500
7-Jul-06,11.06,11.20,10.96,11.18,25471000
6-Jul-06,10.99,11.22,10.95,11.07,25144200
5-Jul-06,10.79,11.00,10.72,10.93,21482800
3-Jul-06,11.00,11.01,10.80,10.94,12203700
30-Jun-06,10.19,10.99,10.11,10.97,89779600
29-Jun-06,11.30,11.38,10.97,11.25,28825900
28-Jun-06,10.97,11.29,10.85,11.25,18885500
27-Jun-06,11.36,11.40,11.14,11.18,15012100
26-Jun-06,11.59,11.64,11.33,11.35,17156300
23-Jun-06,11.42,11.65,11.40,11.53,17022500
22-Jun-06,11.59,11.69,11.40,11.44,23193000
21-Jun-06,11.59,11.75,11.55,11.64,21070900
20-Jun-06,11.60,11.76,11.42,11.60,31585800
19-Jun-06,12.00,12.00,11.59,11.63,30730900
16-Jun-06,11.99,12.14,11.96,12.01,18099700
15-Jun-06,11.99,12.10,11.82,12.02,25620700
14-Jun-06,11.66,11.98,11.65,11.90,21435700
13-Jun-06,11.73,11.83,11.62,11.70,20892600
12-Jun-06,11.93,11.96,11.71,11.73,17209000
9-Jun-06,12.05,12.10,11.82,11.82,17400900
8-Jun-06,12.24,12.28,11.86,12.05,23498400
7-Jun-06,12.30,12.38,11.85,12.12,48751600
6-Jun-06,12.36,12.50,12.22,12.35,19236400
5-Jun-06,12.84,12.85,12.42,12.46,13410200
2-Jun-06,13.00,13.05,12.71,12.89,11548200
1-Jun-06,12.80,13.01,12.74,12.99,13915200
31-May-06,12.56,12.86,12.55,12.80,14638200
30-May-06,12.70,12.72,12.55,12.55,13280200
