Date,Open,High,Low,Close,Volume
21-Jun-07,21.26,21.82,21.03,21.78,1432384
20-Jun-07,21.88,21.98,21.25,21.28,1747794
19-Jun-07,21.92,22.64,21.42,21.62,3343970
18-Jun-07,21.50,21.58,20.97,21.12,858574
15-Jun-07,21.36,21.75,21.23,21.48,1814314
14-Jun-07,20.48,21.34,20.48,21.10,1184046
13-Jun-07,19.95,20.46,19.88,20.36,731608
12-Jun-07,20.12,20.38,19.88,19.90,708992
11-Jun-07,19.95,20.38,19.86,20.26,1099038
8-Jun-07,20.00,20.28,19.79,20.08,931660
7-Jun-07,20.42,20.64,19.98,20.05,739274
6-Jun-07,20.80,20.80,20.37,20.56,920230
5-Jun-07,20.85,21.02,20.66,20.87,1778968
4-Jun-07,20.82,21.01,20.60,20.86,1178862
1-Jun-07,20.82,21.14,20.50,20.85,1631694
31-May-07,20.52,20.80,20.50,20.68,1286480
30-May-07,20.44,20.68,20.26,20.53,1067170
29-May-07,20.42,20.66,20.35,20.50,914480
25-May-07,20.19,20.42,20.16,20.30,587162
24-May-07,20.58,20.85,20.08,20.17,1012446
23-May-07,20.68,21.12,20.47,20.48,1129926
22-May-07,20.64,21.04,20.50,20.96,2847372
21-May-07,20.36,20.80,20.36,20.66,1296124
18-May-07,20.18,20.42,19.88,20.40,1262734
17-May-07,20.16,20.32,19.88,20.11,1297234
16-May-07,20.38,20.64,20.06,20.22,1794622
15-May-07,20.82,21.00,20.38,20.42,1598046
14-May-07,20.92,21.49,20.70,20.80,1985242
11-May-07,21.06,21.16,20.80,20.96,1919176
10-May-07,21.26,21.34,21.00,21.16,2481416
9-May-07,20.90,21.48,20.68,21.46,1819868
8-May-07,21.39,21.52,21.28,21.34,1604732
7-May-07,22.00,22.07,21.45,21.54,1924160
4-May-07,21.40,21.94,21.38,21.86,1770936
3-May-07,20.84,21.34,20.84,21.31,1632924
2-May-07,20.68,21.25,20.68,20.88,1762532
1-May-07,20.26,20.82,20.25,20.75,1646622
30-Apr-07,20.52,21.12,20.22,20.24,2714386
27-Apr-07,21.74,21.75,20.52,20.97,3099398
26-Apr-07,19.84,19.94,19.62,19.64,1782466
25-Apr-07,19.82,19.96,19.56,19.84,1053208
24-Apr-07,19.79,19.80,19.33,19.65,1226192
23-Apr-07,19.87,20.12,19.60,19.70,1127894
20-Apr-07,19.73,19.90,19.56,19.88,1097198
19-Apr-07,19.58,19.62,19.02,19.50,1129752
18-Apr-07,19.31,19.80,19.24,19.60,1193270
17-Apr-07,19.48,19.48,19.15,19.34,825584
16-Apr-07,19.09,19.66,19.09,19.40,1705466
13-Apr-07,18.72,19.18,18.70,19.15,2284320
12-Apr-07,18.50,18.76,18.40,18.76,1048200
11-Apr-07,18.60,18.64,18.30,18.51,840826
10-Apr-07,18.19,18.74,18.19,18.59,857184
9-Apr-07,18.61,18.74,18.10,18.23,592762
5-Apr-07,17.98,18.61,17.92,18.54,975288
4-Apr-07,18.09,18.11,17.92,17.95,784116
3-Apr-07,17.74,18.30,17.71,18.04,1118706
2-Apr-07,17.94,17.95,17.55,17.71,730550
30-Mar-07,17.65,17.91,17.58,17.84,1010070
29-Mar-07,17.40,17.80,17.37,17.64,1056928
28-Mar-07,17.16,17.40,17.00,17.26,1795432
27-Mar-07,17.26,17.42,17.00,17.34,1196258
26-Mar-07,17.38,17.44,17.04,17.31,575704
23-Mar-07,17.22,17.40,17.14,17.32,436954
22-Mar-07,17.50,17.50,17.16,17.28,1341190
21-Mar-07,17.44,17.66,17.18,17.61,647066
20-Mar-07,16.86,17.62,16.78,17.40,936594
19-Mar-07,16.80,17.10,16.80,16.90,651202
16-Mar-07,17.02,17.04,16.60,16.86,1338334
15-Mar-07,16.86,17.15,16.86,17.03,418312
14-Mar-07,16.98,17.17,16.55,17.00,995630
13-Mar-07,17.50,17.54,16.96,17.02,764986
12-Mar-07,17.36,17.63,17.29,17.60,732852
9-Mar-07,17.34,17.36,17.06,17.30,716640
8-Mar-07,17.12,17.42,17.09,17.26,1003894
7-Mar-07,16.96,17.14,16.76,16.95,1379104
6-Mar-07,16.76,17.20,16.52,16.98,1434680
5-Mar-07,16.64,16.95,16.48,16.58,1162054
2-Mar-07,17.22,17.37,16.67,16.68,1194492
1-Mar-07,17.18,17.60,16.92,17.44,1232468
28-Feb-07,17.62,17.70,17.04,17.38,1774558
27-Feb-07,17.72,18.02,17.44,17.70,1818002
26-Feb-07,17.95,18.18,17.75,17.91,1090070
23-Feb-07,17.88,18.24,17.84,17.96,1515744
22-Feb-07,17.88,17.94,17.62,17.93,1104066
21-Feb-07,17.46,17.94,17.38,17.81,1093694
20-Feb-07,17.54,17.60,17.26,17.52,1073250
16-Feb-07,17.53,17.66,17.50,17.66,848140
15-Feb-07,17.33,17.76,17.18,17.54,1380702
14-Feb-07,17.10,17.76,17.10,17.38,1292660
13-Feb-07,17.02,17.12,16.87,17.12,886508
12-Feb-07,17.22,17.25,16.90,17.06,1644230
9-Feb-07,17.36,17.60,17.18,17.22,1869402
8-Feb-07,16.30,17.95,16.02,17.42,5654308
7-Feb-07,15.50,15.70,15.11,15.30,2111110
6-Feb-07,15.78,15.96,15.70,15.88,648452
5-Feb-07,15.80,15.94,15.68,15.79,988156
2-Feb-07,15.62,15.80,15.58,15.76,613934
1-Feb-07,15.53,15.66,15.32,15.60,694020
31-Jan-07,14.98,15.63,14.85,15.46,1884302
30-Jan-07,15.90,15.90,14.81,15.02,2450878
29-Jan-07,15.95,15.98,15.65,15.90,627872
26-Jan-07,15.90,16.02,15.58,15.96,746686
25-Jan-07,15.88,16.02,15.72,15.86,1187924
24-Jan-07,15.78,15.87,15.70,15.86,769130
23-Jan-07,15.54,15.84,15.51,15.72,665956
22-Jan-07,15.64,15.64,15.28,15.53,703464
19-Jan-07,15.58,15.76,15.46,15.58,635596
18-Jan-07,16.11,16.12,15.60,15.63,623028
17-Jan-07,16.07,16.36,16.02,16.11,323068
16-Jan-07,16.32,16.44,16.00,16.07,586434
12-Jan-07,16.12,16.29,16.00,16.24,431606
11-Jan-07,15.78,16.24,15.76,16.15,880206
10-Jan-07,15.50,15.82,15.42,15.78,566946
9-Jan-07,15.98,16.10,15.39,15.63,1030404
8-Jan-07,15.88,16.00,15.54,15.90,1149522
5-Jan-07,16.09,16.24,15.77,15.79,1416094
4-Jan-07,15.92,16.26,15.72,16.18,863794
3-Jan-07,15.91,16.16,15.65,15.98,1052002
29-Dec-06,16.16,16.30,15.90,15.92,613338
28-Dec-06,16.34,16.46,16.18,16.18,490758
27-Dec-06,16.18,16.44,16.18,16.34,482986
26-Dec-06,16.00,16.34,16.00,16.22,507196
22-Dec-06,15.91,16.03,15.79,15.90,369844
21-Dec-06,16.17,16.26,15.80,15.95,606386
20-Dec-06,15.90,16.38,15.90,16.02,931718
19-Dec-06,15.90,15.96,15.65,15.84,580330
18-Dec-06,16.36,16.44,15.95,15.96,802540
15-Dec-06,15.90,16.46,15.78,16.32,2270262
