Date,Open,High,Low,Close,Volume
22-Mar-07,49.80,50.54,49.74,50.27,215500
21-Mar-07,49.39,49.96,49.13,49.80,407400
20-Mar-07,48.49,49.46,48.45,49.46,291900
19-Mar-07,48.13,48.65,47.94,48.49,360200
16-Mar-07,47.82,48.37,47.75,48.01,319900
15-Mar-07,47.37,48.00,47.15,47.87,319900
14-Mar-07,47.09,47.44,46.55,47.32,371900
13-Mar-07,47.65,48.23,46.95,47.10,305000
12-Mar-07,47.75,47.94,47.39,47.80,236000
9-Mar-07,47.65,48.01,47.51,47.75,302400
8-Mar-07,47.85,48.05,47.38,47.58,374400
7-Mar-07,47.09,48.00,46.90,47.46,447800
6-Mar-07,47.02,47.18,46.57,47.09,516600
5-Mar-07,47.32,47.62,46.87,47.03,557700
2-Mar-07,48.34,48.32,47.41,47.57,367100
1-Mar-07,48.48,48.68,47.68,48.34,419099
28-Feb-07,47.24,48.79,46.71,48.45,649000
27-Feb-07,48.76,49.35,47.88,48.14,603700
26-Feb-07,48.00,49.23,47.80,48.90,661200
23-Feb-07,47.35,47.84,47.10,47.69,313800
22-Feb-07,46.80,47.21,46.75,47.15,220100
21-Feb-07,46.26,47.03,46.22,46.84,333700
20-Feb-07,46.45,46.59,46.12,46.21,467000
16-Feb-07,46.57,46.69,46.32,46.46,251300
15-Feb-07,47.41,47.63,46.72,46.80,202200
14-Feb-07,47.02,47.40,46.81,47.21,208108
13-Feb-07,46.65,47.30,46.65,47.02,179334
12-Feb-07,47.58,47.70,46.75,47.00,265950
9-Feb-07,47.38,48.15,47.20,47.73,869700
8-Feb-07,46.18,47.37,46.13,47.20,719300
7-Feb-07,45.86,46.35,45.80,46.18,294700
6-Feb-07,45.75,46.22,45.75,46.06,344100
5-Feb-07,45.85,46.36,45.75,45.88,251700
2-Feb-07,46.20,46.25,45.80,46.04,315300
1-Feb-07,46.18,46.40,45.87,46.25,293300
31-Jan-07,45.96,46.37,45.60,46.28,375800
30-Jan-07,45.42,46.09,45.42,45.96,288000
29-Jan-07,46.00,46.00,45.39,45.49,571400
26-Jan-07,46.59,46.59,45.70,46.04,406900
25-Jan-07,46.48,46.70,45.73,46.02,465700
24-Jan-07,46.09,46.56,45.76,46.45,543600
23-Jan-07,46.75,46.77,46.01,46.09,1015600
22-Jan-07,46.32,46.80,46.10,46.38,304300
19-Jan-07,46.60,46.60,46.08,46.49,247400
18-Jan-07,46.92,46.92,45.75,45.93,241900
17-Jan-07,45.80,46.24,45.70,46.12,398100
16-Jan-07,45.99,46.43,45.85,45.95,264600
