Date,Open,High,Low,Close,Volume
20-Jul-07,35.10,35.14,34.33,34.52,2580600
19-Jul-07,34.52,35.24,34.52,35.14,2343400
18-Jul-07,34.41,34.49,34.06,34.40,1653768
17-Jul-07,34.24,35.22,34.22,34.51,2774718
16-Jul-07,34.02,34.44,33.82,33.90,1073200
13-Jul-07,33.92,34.10,33.72,34.06,979580
12-Jul-07,33.52,33.96,33.32,33.92,1099000
11-Jul-07,33.12,33.56,33.10,33.32,1016000
10-Jul-07,33.78,33.82,33.12,33.12,1499600
9-Jul-07,34.15,34.16,33.71,34.05,1057800
6-Jul-07,33.86,34.01,33.44,33.97,1176800
5-Jul-07,33.55,34.02,33.50,33.88,1476200
3-Jul-07,33.44,33.76,33.36,33.41,959000
2-Jul-07,32.46,33.50,32.43,33.44,1911576
29-Jun-07,32.40,32.84,31.98,32.16,1602150
28-Jun-07,32.10,32.63,32.04,32.30,1356312
27-Jun-07,32.26,32.28,31.83,32.17,1330800
26-Jun-07,33.06,33.40,32.32,32.33,2456800
25-Jun-07,32.47,32.78,32.21,32.36,1667200
22-Jun-07,32.86,33.16,32.47,32.47,2239000
21-Jun-07,32.65,33.08,32.35,33.04,1576200
20-Jun-07,32.80,33.24,32.62,32.64,1986000
19-Jun-07,32.58,32.80,32.44,32.80,1385400
18-Jun-07,32.46,32.72,32.36,32.66,1795044
15-Jun-07,32.38,32.62,32.28,32.32,1947400
14-Jun-07,32.24,32.60,32.18,32.32,1478600
13-Jun-07,31.80,32.24,31.56,32.24,1095200
12-Jun-07,31.75,32.16,31.72,31.76,2185800
11-Jun-07,31.95,32.04,31.60,31.83,1033800
8-Jun-07,31.66,31.95,31.51,31.94,1367000
7-Jun-07,32.25,32.42,31.66,31.66,1471116
6-Jun-07,32.87,32.88,32.39,32.45,1202400
5-Jun-07,33.12,33.12,32.84,32.90,1072200
4-Jun-07,33.14,33.25,33.03,33.12,736800
1-Jun-07,33.08,33.52,33.08,33.17,1583400
31-May-07,33.62,33.70,33.04,33.08,2041200
30-May-07,33.02,33.51,32.82,33.48,1533600
29-May-07,33.24,33.50,33.06,33.25,1157808
25-May-07,32.64,33.04,32.58,33.04,840400
24-May-07,33.12,33.28,32.49,32.50,1009600
23-May-07,33.22,33.48,33.10,33.10,849784
22-May-07,33.07,33.32,33.07,33.14,765000
21-May-07,33.07,33.42,33.00,33.23,767600
18-May-07,33.10,33.34,33.00,33.15,825400
17-May-07,33.02,33.20,32.90,33.05,833200
16-May-07,33.14,33.30,32.67,33.12,1044400
15-May-07,32.75,33.50,32.70,33.16,1715000
14-May-07,32.95,33.14,32.57,32.65,1161980
11-May-07,32.42,33.13,32.35,32.95,1317000
10-May-07,33.16,33.16,32.29,32.32,1556040
9-May-07,33.16,33.20,32.78,33.15,1189400
8-May-07,33.17,33.22,32.80,33.16,1474000
7-May-07,33.11,33.62,33.11,33.20,1125000
4-May-07,33.36,33.36,33.00,33.10,1542800
3-May-07,33.59,33.70,33.30,33.36,1388600
2-May-07,33.22,33.72,32.88,33.58,1861186
1-May-07,33.86,33.51,32.48,33.25,2539200
30-Apr-07,34.72,34.72,33.85,33.85,2777800
27-Apr-07,33.36,34.88,33.36,34.71,3407696
26-Apr-07,33.71,33.87,33.30,33.33,2485660
25-Apr-07,32.84,33.95,32.80,33.90,2214200
24-Apr-07,32.94,33.12,32.62,32.92,948800
23-Apr-07,33.05,33.21,32.70,32.80,944800
20-Apr-07,32.97,33.06,32.84,33.06,1097800
19-Apr-07,33.00,33.00,32.29,32.72,798000
18-Apr-07,32.86,32.89,32.63,32.70,625000
17-Apr-07,32.94,33.00,32.84,32.94,930200
16-Apr-07,32.50,32.94,32.50,32.94,1000400
13-Apr-07,32.68,32.70,32.42,32.48,849400
12-Apr-07,32.31,32.66,32.26,32.64,850658
11-Apr-07,32.24,32.46,31.94,32.30,1394200
10-Apr-07,32.22,32.38,32.13,32.14,824600
9-Apr-07,32.50,32.76,32.46,32.50,946200
5-Apr-07,32.26,32.45,32.21,32.38,948600
4-Apr-07,32.34,32.50,32.24,32.44,1106200
3-Apr-07,32.03,32.42,31.79,32.34,1013200
2-Apr-07,31.78,31.98,31.58,31.93,1107400
30-Mar-07,31.48,31.74,31.15,31.66,1682200
