Index,Open,High,Low,Close,Volume,Date
1,0,7.94,7.69,7.81,85800,2-Jan-92
2,0,8.19,7.88,8.12,160800,3-Jan-92
3,0,8,7.56,7.62,127600,6-Jan-92
4,0,7.62,7.44,7.5,97600,7-Jan-92
5,0,8.12,7.44,8.12,207400,8-Jan-92
6,0,8.38,7.94,8,178800,9-Jan-92
7,0,8.25,7.81,8.06,222200,10-Jan-92
8,0,8.12,7.94,8.06,81800,13-Jan-92
9,0,8.56,8.12,8.5,287800,14-Jan-92
10,0,8.81,8.38,8.81,443000,15-Jan-92
11,0,9.25,8.69,9.12,226200,16-Jan-92
12,0,9.25,8.69,8.69,150800,17-Jan-92
13,0,8.81,8.62,8.75,67600,20-Jan-92
14,0,8.94,8.62,8.81,182400,21-Jan-92
15,0,8.94,8.75,8.75,45400,22-Jan-92
16,0,8.81,8.62,8.75,52000,23-Jan-92
17,0,8.75,8.62,8.69,33000,24-Jan-92
18,0,8.75,8.5,8.5,82000,27-Jan-92
19,0,8.5,8.12,8.38,59800,28-Jan-92
20,0,8.12,8,8,77600,29-Jan-92
21,0,8.12,8.06,8.12,137400,30-Jan-92
22,0,8.19,8,8.06,103200,31-Jan-92
23,0,8.06,8,8.06,41800,3-Feb-92
24,0,8.5,8,8.38,127600,4-Feb-92
25,0,8.62,8.38,8.62,192800,5-Feb-92
26,0,8.62,8.38,8.56,137200,6-Feb-92
27,0,8.56,8.31,8.31,241000,7-Feb-92
28,0,8.38,8.25,8.31,111600,10-Feb-92
29,0,8.56,8.25,8.44,148000,11-Feb-92
30,0,8.62,8.5,8.62,144800,12-Feb-92
31,0,8.69,8.19,8.25,172000,13-Feb-92
32,0,8.25,7.81,7.94,119800,14-Feb-92
33,0,8,7.75,7.94,121800,18-Feb-92
34,0,7.94,7.88,7.94,23600,19-Feb-92
35,0,7.94,7.75,7.94,76200,20-Feb-92
36,0,7.94,7.75,7.81,165000,21-Feb-92
37,0,7.81,7.56,7.62,90200,24-Feb-92
38,0,7.56,7.31,7.31,175800,25-Feb-92
39,0,7.94,7.19,7.62,574000,26-Feb-92
40,0,8.25,7.75,8.25,351200,27-Feb-92
41,0,8.75,8.5,8.69,225400,28-Feb-92
42,0,8.69,8.25,8.25,101000,2-Mar-92
43,0,8.19,7.94,7.94,160800,3-Mar-92
