Date,Open,High,Low,Close,Volume
20-May-05,49.18,49.18,48.74,48.88,2698600
19-May-05,49.40,49.43,48.66,49.04,3291000
18-May-05,49.40,49.65,49.14,49.35,3220000
17-May-05,49.25,49.43,48.89,49.41,3107200
16-May-05,48.90,49.56,48.67,49.47,2871500
13-May-05,48.85,48.93,48.29,48.76,3330800
12-May-05,49.38,49.50,49.00,49.12,2736700
11-May-05,49.04,49.34,48.80,49.26,4035400
10-May-05,48.87,49.25,48.64,48.85,2537900
9-May-05,48.96,49.13,48.75,49.07,2418400
6-May-05,49.34,49.56,48.91,49.02,2538300
5-May-05,49.49,49.50,48.67,49.19,3444700
4-May-05,49.30,49.84,49.08,49.71,3685800
3-May-05,49.35,49.40,48.92,49.26,3552200
2-May-05,49.00,49.49,48.95,49.38,3434100
29-Apr-05,48.34,49.19,48.10,49.16,3834800
28-Apr-05,48.16,48.56,48.09,48.09,3817800
27-Apr-05,47.93,48.55,47.61,48.47,4340500
26-Apr-05,47.52,48.46,47.52,47.94,3411800
25-Apr-05,47.60,47.90,47.32,47.77,2847700
22-Apr-05,47.90,48.00,47.22,47.57,2795600
21-Apr-05,47.75,48.19,46.76,48.10,3603000
20-Apr-05,47.80,48.15,47.22,47.30,3847800
19-Apr-05,48.65,48.74,47.80,48.17,4111600
18-Apr-05,49.40,49.69,48.39,48.98,7169200
15-Apr-05,48.29,49.98,48.29,49.87,9726800
14-Apr-05,47.91,48.50,47.85,48.29,4365200
13-Apr-05,47.50,48.25,47.45,48.04,3648400
12-Apr-05,47.70,48.08,47.05,47.90,3729600
11-Apr-05,48.00,48.20,47.74,47.75,3117400
8-Apr-05,48.35,48.41,47.82,47.86,2957200
7-Apr-05,47.61,48.49,47.55,48.35,4361500
6-Apr-05,47.30,47.90,47.17,47.61,4564400
5-Apr-05,46.49,47.22,46.43,47.20,3844400
4-Apr-05,46.36,46.42,45.98,46.18,3686400
1-Apr-05,46.83,46.98,46.12,46.19,3537600
31-Mar-05,46.75,47.00,46.54,46.62,4173500
30-Mar-05,46.15,46.78,46.03,46.75,5085500
29-Mar-05,45.50,46.05,45.38,45.75,6010300
28-Mar-05,44.95,45.34,44.65,45.18,3957600
24-Mar-05,44.50,45.29,44.45,44.94,3230300
23-Mar-05,43.64,44.88,43.64,44.60,4104900
22-Mar-05,43.34,44.50,43.34,43.76,3633300
21-Mar-05,44.38,44.38,43.70,43.87,3716900
18-Mar-05,44.31,44.90,43.83,44.47,7065300
17-Mar-05,44.25,44.88,44.08,44.53,4385200
16-Mar-05,45.43,45.55,45.12,45.42,3094600
15-Mar-05,46.12,46.23,45.61,45.66,3831100
14-Mar-05,46.00,46.36,45.82,46.12,2766200
