Date,Open,High,Low,Close,Volume
22-Dec-94,0.00,6.62,6.25,6.50,823900
21-Dec-94,0.00,6.75,6.25,6.50,510800
20-Dec-94,0.00,6.50,6.12,6.50,1256000
19-Dec-94,0.00,6.38,6.12,6.12,227500
16-Dec-94,0.00,6.50,6.25,6.25,775400
15-Dec-94,0.00,6.38,6.12,6.38,163300
14-Dec-94,0.00,6.38,6.00,6.25,302700
13-Dec-94,0.00,6.25,5.88,6.12,260100
12-Dec-94,0.00,6.00,5.88,6.00,327600
9-Dec-94,0.00,6.12,5.75,5.94,1414900
8-Dec-94,0.00,6.25,5.88,6.12,1270800
7-Dec-94,0.00,6.50,6.00,6.00,426000
6-Dec-94,0.00,6.62,6.38,6.38,204400
5-Dec-94,0.00,6.62,6.38,6.50,344300
2-Dec-94,0.00,6.62,6.38,6.62,213700
1-Dec-94,0.00,6.75,6.38,6.38,340600
30-Nov-94,0.00,6.88,6.50,6.75,724700
29-Nov-94,0.00,6.75,6.50,6.75,805400
28-Nov-94,0.00,6.62,6.38,6.38,347000
25-Nov-94,0.00,6.62,6.38,6.62,123900
23-Nov-94,0.00,6.62,6.25,6.62,327800
22-Nov-94,0.00,6.62,6.50,6.50,567000
21-Nov-94,0.00,6.88,6.50,6.50,570900
18-Nov-94,0.00,6.62,6.25,6.38,700200
17-Nov-94,0.00,6.88,6.50,6.50,584900
16-Nov-94,0.00,6.88,6.62,6.69,414300
15-Nov-94,0.00,7.00,6.75,6.81,1120100
14-Nov-94,0.00,7.12,6.88,6.88,314200
11-Nov-94,0.00,7.12,6.88,6.88,183400
10-Nov-94,0.00,7.12,6.88,7.12,157100
9-Nov-94,0.00,7.25,6.88,7.12,200200
8-Nov-94,0.00,7.12,7.00,7.12,326000
7-Nov-94,0.00,7.25,7.00,7.00,271100
4-Nov-94,0.00,7.50,7.12,7.19,480900
3-Nov-94,0.00,7.38,7.12,7.31,395300
2-Nov-94,0.00,7.62,7.25,7.25,156400
1-Nov-94,0.00,7.62,7.25,7.50,363900
31-Oct-94,0.00,7.50,7.25,7.25,633600
28-Oct-94,0.00,7.50,7.12,7.38,409000
27-Oct-94,0.00,7.50,7.38,7.50,159800
26-Oct-94,0.00,7.50,7.38,7.50,265900
25-Oct-94,0.00,7.50,7.25,7.50,669100
24-Oct-94,0.00,7.50,7.31,7.38,189600
21-Oct-94,0.00,7.62,7.38,7.38,597700
20-Oct-94,0.00,7.62,7.50,7.50,105600
19-Oct-94,0.00,7.75,7.50,7.62,134600
18-Oct-94,0.00,7.75,7.50,7.50,113200
17-Oct-94,0.00,7.88,7.62,7.62,98200
14-Oct-94,0.00,7.88,7.62,7.88,112900
13-Oct-94,0.00,8.00,7.62,7.75,234300
12-Oct-94,0.00,7.88,7.62,7.62,288300
11-Oct-94,0.00,8.00,7.62,7.88,599500
10-Oct-94,0.00,7.75,7.50,7.75,289700
7-Oct-94,0.00,7.88,7.12,7.56,2202100
6-Oct-94,0.00,7.62,7.12,7.25,2987300
5-Oct-94,0.00,8.00,7.62,7.75,769100
4-Oct-94,0.00,8.25,7.88,7.88,470600
3-Oct-94,0.00,8.25,7.88,8.00,615900
30-Sep-94,0.00,8.25,7.75,8.12,2964000
29-Sep-94,0.00,8.25,8.00,8.12,256600
28-Sep-94,0.00,8.25,8.00,8.25,383200
27-Sep-94,0.00,8.25,7.88,8.06,494500
26-Sep-94,0.00,8.38,8.00,8.12,793700
23-Sep-94,0.00,8.50,8.12,8.25,1623400
22-Sep-94,0.00,8.75,8.25,8.50,1469700
21-Sep-94,0.00,8.88,8.62,8.62,907500
20-Sep-94,0.00,9.00,8.62,8.62,1118200
19-Sep-94,0.00,9.12,8.88,8.88,333600
16-Sep-94,0.00,9.25,8.88,9.00,603400
15-Sep-94,0.00,9.25,9.00,9.25,748400
14-Sep-94,0.00,9.25,9.00,9.25,740000
13-Sep-94,0.00,9.12,8.88,9.00,504000
12-Sep-94,0.00,9.25,8.88,8.88,201700
