Date,Open,High,Low,Close,Volume
20-Oct-95,0.00,24.62,23.81,23.84,17814400
19-Oct-95,0.00,24.59,24.00,24.56,18746800
18-Oct-95,0.00,24.56,23.94,24.09,29217600
17-Oct-95,0.00,24.25,22.81,24.22,45773600
16-Oct-95,0.00,23.53,23.12,23.50,10594400
13-Oct-95,0.00,23.56,23.12,23.12,9409600
12-Oct-95,0.00,23.38,23.03,23.25,9390800
11-Oct-95,0.00,23.22,22.81,23.12,13436000
10-Oct-95,0.00,22.78,22.28,22.69,25871200
9-Oct-95,0.00,23.53,23.00,23.00,12086000
6-Oct-95,0.00,23.84,23.53,23.53,10392000
5-Oct-95,0.00,23.75,23.38,23.62,9877200
4-Oct-95,0.00,23.66,23.34,23.44,8028000
3-Oct-95,0.00,23.81,23.34,23.72,13162400
2-Oct-95,0.00,23.91,23.34,23.38,9487600
29-Sep-95,0.00,23.81,23.41,23.62,10389200
28-Sep-95,0.00,23.84,23.47,23.47,11420400
27-Sep-95,0.00,23.62,22.97,23.59,18762800
26-Sep-95,0.00,23.47,23.12,23.22,11099200
25-Sep-95,0.00,23.69,23.16,23.19,11886000
22-Sep-95,0.00,23.59,23.34,23.47,9377200
21-Sep-95,0.00,24.12,23.47,23.59,11468000
20-Sep-95,0.00,24.53,23.91,23.94,11826800
19-Sep-95,0.00,24.22,23.56,24.19,16878800
18-Sep-95,0.00,23.56,23.09,23.53,17814800
15-Sep-95,0.00,23.19,22.91,23.06,27121600
14-Sep-95,0.00,23.91,23.12,23.34,31461600
13-Sep-95,0.00,24.69,23.09,23.66,55690400
12-Sep-95,0.00,24.62,23.78,24.38,29151200
11-Sep-95,0.00,24.59,23.97,24.09,26478000
8-Sep-95,0.00,25.00,24.53,24.72,21422000
7-Sep-95,0.00,25.31,24.75,24.84,16205200
6-Sep-95,0.00,25.66,25.16,25.19,16766000
5-Sep-95,0.00,25.75,25.03,25.28,26673200
1-Sep-95,0.00,26.12,25.59,25.69,7275600
31-Aug-95,0.00,25.94,25.50,25.84,9254800
30-Aug-95,0.00,25.88,25.28,25.41,12998400
29-Aug-95,0.00,25.66,24.66,25.59,24584000
28-Aug-95,0.00,25.97,25.34,25.41,16455600
25-Aug-95,0.00,26.34,25.94,25.97,11129200
24-Aug-95,0.00,26.66,26.12,26.22,15188000
23-Aug-95,0.00,27.12,26.62,26.66,12956000
22-Aug-95,0.00,27.06,26.41,26.91,22057200
21-Aug-95,0.00,27.84,26.62,26.69,18802800
18-Aug-95,0.00,28.50,27.78,27.84,14792400
17-Aug-95,0.00,28.66,28.06,28.41,12118800
16-Aug-95,0.00,28.19,27.69,28.09,11787200
15-Aug-95,0.00,28.03,27.56,28.00,10804000
14-Aug-95,0.00,27.72,27.31,27.69,6993200
11-Aug-95,0.00,27.41,27.09,27.31,9310800
10-Aug-95,0.00,27.59,27.22,27.28,7885600
9-Aug-95,0.00,27.59,27.41,27.47,7867200
8-Aug-95,0.00,27.50,27.22,27.41,7181200
