Date,Open,High,Low,Close,Volume
21-May-10,18.42,19.30,18.32,19.29,14377320
20-May-10,18.76,18.95,18.26,18.47,10603689
19-May-10,19.75,19.90,19.28,19.73,10444146
18-May-10,21.10,21.16,20.32,20.44,6054978
17-May-10,21.20,21.35,20.53,21.00,11222327
14-May-10,21.64,21.71,21.06,21.21,10178291
13-May-10,22.11,22.32,21.92,21.95,6035143
12-May-10,22.06,22.18,21.94,22.08,5897299
11-May-10,21.76,22.29,21.76,21.92,8974297
10-May-10,22.31,22.56,22.17,22.43,15629419
7-May-10,21.09,21.34,20.41,20.84,11688455
6-May-10,21.86,22.04,18.27,20.81,12798025
5-May-10,22.20,22.63,22.12,22.30,8141364
4-May-10,22.79,22.80,22.36,22.49,8712638
3-May-10,23.68,23.85,23.54,23.73,4665952
30-Apr-10,23.92,23.95,23.38,23.44,5310052
29-Apr-10,23.88,24.01,23.81,23.96,3594670
28-Apr-10,23.72,23.88,23.51,23.75,4528174
27-Apr-10,23.89,24.00,23.24,23.35,5619094
26-Apr-10,24.36,24.42,24.16,24.24,3178313
23-Apr-10,23.98,24.29,23.86,24.29,4887438
22-Apr-10,24.14,24.40,23.93,24.38,4557057
21-Apr-10,24.58,24.63,24.31,24.55,3487620
20-Apr-10,24.67,24.73,24.56,24.67,3812366
19-Apr-10,24.11,24.36,24.01,24.32,4721014
16-Apr-10,24.88,24.94,24.31,24.48,4834746
15-Apr-10,24.98,25.11,24.94,25.07,3338467
14-Apr-10,24.95,25.14,24.90,25.12,3544483
13-Apr-10,24.67,24.68,24.41,24.66,3379119
12-Apr-10,24.74,24.80,24.68,24.71,3210811
9-Apr-10,24.70,24.82,24.65,24.79,3822350
8-Apr-10,24.36,24.65,24.28,24.59,3481522
7-Apr-10,24.69,24.71,24.46,24.60,5255780
6-Apr-10,24.53,24.80,24.51,24.78,4899159
5-Apr-10,24.57,24.66,24.45,24.62,4393145
1-Apr-10,-,-,-,24.47,0
31-Mar-10,23.96,24.11,23.88,24.01,5340891
30-Mar-10,24.31,24.37,24.13,24.26,3576258
