Date,Open,High,Low,Close,Volume
30-Nov-10,24.35,24.98,24.22,24.86,363868
29-Nov-10,24.67,24.75,24.35,24.60,289907
26-Nov-10,25.06,25.11,24.74,24.82,61383
24-Nov-10,24.94,25.49,24.94,25.22,184555
23-Nov-10,24.95,25.09,24.58,24.79,323491
22-Nov-10,25.44,25.51,24.85,25.22,286536
19-Nov-10,25.25,25.49,25.07,25.49,232432
18-Nov-10,25.62,25.92,25.22,25.32,266452
17-Nov-10,25.45,25.45,25.06,25.28,344598
16-Nov-10,26.24,26.28,25.10,25.44,490567
15-Nov-10,26.66,26.88,26.41,26.46,334745
12-Nov-10,27.34,27.64,26.63,26.64,500677
11-Nov-10,26.60,27.78,26.50,27.57,445633
10-Nov-10,26.37,26.91,26.18,26.84,335845
9-Nov-10,26.97,27.03,26.22,26.31,212344
8-Nov-10,26.91,27.00,26.57,26.86,656064
5-Nov-10,26.35,27.80,26.33,26.96,434562
4-Nov-10,25.87,26.42,25.51,26.36,423845
3-Nov-10,25.01,25.65,24.71,25.46,466630
2-Nov-10,24.37,25.06,24.19,24.92,542386
1-Nov-10,23.44,24.18,23.09,24.12,480856
29-Oct-10,23.06,23.77,22.83,23.46,427407
28-Oct-10,24.23,24.47,23.20,23.49,483192
27-Oct-10,24.14,24.42,23.69,23.95,453594
26-Oct-10,23.80,24.32,23.79,24.15,204703
25-Oct-10,24.25,24.66,23.91,23.97,263208
22-Oct-10,24.00,24.24,23.77,24.18,145751
21-Oct-10,23.95,24.46,23.79,23.90,321023
20-Oct-10,23.49,24.08,23.31,23.81,329584
19-Oct-10,22.52,23.57,22.45,23.43,527631
18-Oct-10,24.00,24.13,22.69,22.74,627309
15-Oct-10,23.92,24.32,23.72,24.03,439323
14-Oct-10,23.66,23.87,23.54,23.75,384105
13-Oct-10,23.33,23.85,23.15,23.63,405943
12-Oct-10,22.96,23.29,22.69,23.17,258490
11-Oct-10,23.35,23.51,22.93,22.95,242419
8-Oct-10,23.20,23.45,22.90,23.40,262030
7-Oct-10,23.65,23.69,22.85,23.21,206489
6-Oct-10,23.43,23.55,23.26,23.50,188064
5-Oct-10,23.06,23.52,22.72,23.37,329178
4-Oct-10,23.40,23.42,22.61,22.90,247602
1-Oct-10,23.69,23.91,23.31,23.61,181477
30-Sep-10,23.75,23.94,23.27,23.70,318266
29-Sep-10,23.87,23.96,23.53,23.68,264247
28-Sep-10,23.07,23.95,22.71,23.93,408395
27-Sep-10,23.22,23.25,22.70,23.06,176542
24-Sep-10,22.74,23.23,22.58,23.16,189635
23-Sep-10,22.29,22.68,22.11,22.46,248741
22-Sep-10,22.45,22.65,22.23,22.41,181293
21-Sep-10,22.88,23.23,22.42,22.52,260661
20-Sep-10,22.66,22.85,22.18,22.84,201990
17-Sep-10,22.77,22.78,22.18,22.53,313840
16-Sep-10,23.08,23.25,22.11,22.60,475428
15-Sep-10,23.61,23.66,22.94,23.25,322742
14-Sep-10,24.14,24.26,23.56,23.61,299323
13-Sep-10,23.75,24.27,23.61,24.16,215045
10-Sep-10,23.87,24.18,23.35,23.56,275398
9-Sep-10,24.06,24.15,23.47,23.77,158321
8-Sep-10,24.34,24.34,23.71,23.76,204406
7-Sep-10,24.41,24.70,24.18,24.23,268289
3-Sep-10,24.40,24.68,24.02,24.41,155477
2-Sep-10,23.43,24.24,23.36,24.16,214950
1-Sep-10,23.22,23.43,23.02,23.43,193196
31-Aug-10,22.05,23.28,22.05,22.95,405944
30-Aug-10,23.13,23.19,22.22,22.26,193951
27-Aug-10,23.09,23.31,22.62,23.17,314215
26-Aug-10,22.05,23.19,22.01,22.99,724448
25-Aug-10,21.61,22.16,21.29,22.07,362804
24-Aug-10,21.58,22.10,21.16,21.79,498422
23-Aug-10,22.52,22.76,21.90,21.96,351893
20-Aug-10,22.61,22.73,22.37,22.48,218531
19-Aug-10,23.46,23.46,22.67,22.81,358973
18-Aug-10,23.49,23.92,23.29,23.60,162572
17-Aug-10,23.09,23.79,23.09,23.57,189549
16-Aug-10,22.74,23.16,22.63,23.02,328475
13-Aug-10,23.72,23.82,22.89,22.95,256480
12-Aug-10,23.40,23.97,23.25,23.81,377969
11-Aug-10,23.89,23.89,23.34,23.56,303949
10-Aug-10,24.38,24.55,24.14,24.29,168135
9-Aug-10,24.63,24.73,24.24,24.63,241521
6-Aug-10,24.56,24.82,24.05,24.46,304883
5-Aug-10,24.71,25.03,24.63,24.79,172072
4-Aug-10,25.10,25.15,24.76,25.00,194980
3-Aug-10,25.27,25.27,24.80,25.01,417410
2-Aug-10,24.79,25.51,24.67,25.40,321277
30-Jul-10,24.22,24.76,23.99,24.46,270050
29-Jul-10,24.50,24.82,23.90,24.49,374950
28-Jul-10,25.11,25.11,24.38,24.58,291456
27-Jul-10,25.72,26.04,24.91,25.21,512338
26-Jul-10,25.84,26.25,25.13,25.54,643623
23-Jul-10,25.92,26.50,25.50,25.92,769040
22-Jul-10,27.45,27.80,25.13,25.72,1142978
21-Jul-10,26.29,27.21,26.10,26.76,925556
20-Jul-10,23.72,26.16,23.62,26.07,1091422
19-Jul-10,25.01,25.01,23.86,24.13,705938
16-Jul-10,25.33,25.40,24.81,24.84,648488
15-Jul-10,26.31,26.31,25.18,25.50,327708
14-Jul-10,26.16,26.30,25.69,26.22,232013
13-Jul-10,25.80,26.31,25.11,26.24,594364
12-Jul-10,26.51,26.51,25.16,25.42,446720
9-Jul-10,26.43,26.67,26.35,26.58,154099
8-Jul-10,25.97,26.55,25.78,26.44,354689
7-Jul-10,24.98,25.84,24.76,25.74,336160
6-Jul-10,25.62,25.84,24.69,25.03,288836
2-Jul-10,25.38,25.53,24.66,25.20,443645
1-Jul-10,25.97,25.97,25.21,25.53,755588
30-Jun-10,25.72,26.37,25.68,25.93,538511
29-Jun-10,25.48,26.00,25.24,25.83,512146
28-Jun-10,26.13,26.33,25.82,26.03,398335
25-Jun-10,26.50,26.50,25.44,26.23,387821
24-Jun-10,26.41,26.76,26.11,26.39,207255
23-Jun-10,26.72,26.94,25.97,26.62,198102
22-Jun-10,27.66,27.97,26.65,26.71,140600
21-Jun-10,27.60,27.97,27.40,27.60,311691
18-Jun-10,27.59,27.70,26.97,27.16,248871
17-Jun-10,28.77,29.17,27.40,27.70,372474
16-Jun-10,28.71,28.88,28.38,28.47,177427
15-Jun-10,28.82,29.12,28.46,29.01,214365
14-Jun-10,28.18,29.40,28.18,28.76,482034
11-Jun-10,27.48,27.97,27.34,27.97,157923
10-Jun-10,27.40,28.03,27.29,27.90,154893
9-Jun-10,27.43,27.90,26.80,26.97,280348
8-Jun-10,27.28,27.65,26.78,27.30,323391
7-Jun-10,27.47,27.77,27.00,27.27,410874
4-Jun-10,29.47,29.51,27.38,27.56,647207
3-Jun-10,30.05,30.47,29.86,30.15,175461
2-Jun-10,29.82,30.19,29.54,30.19,162881
1-Jun-10,30.37,30.83,29.59,29.59,336526
28-May-10,30.87,31.36,30.56,30.68,306714
27-May-10,30.40,31.16,30.05,30.99,334212
26-May-10,30.03,30.71,29.48,29.60,554391
25-May-10,28.79,29.92,28.24,29.79,496363
24-May-10,28.96,30.41,28.65,29.71,579288
21-May-10,28.19,29.72,27.95,29.21,506592
20-May-10,29.49,29.94,28.63,28.63,461020
19-May-10,30.26,30.61,29.90,30.27,326556
18-May-10,30.61,31.33,30.14,30.38,360589
17-May-10,30.88,31.11,29.21,30.26,897290
14-May-10,31.72,31.72,30.11,30.56,404727
13-May-10,32.06,32.36,31.48,32.00,319467
12-May-10,31.36,32.42,31.32,32.26,417807
11-May-10,31.17,31.97,30.66,31.19,232110
10-May-10,31.13,31.57,30.95,31.48,276539
7-May-10,30.45,30.73,29.44,29.63,451773
6-May-10,31.48,31.97,0.00,30.73,576343
5-May-10,31.69,32.68,31.33,31.73,1066436
4-May-10,32.35,32.35,31.66,32.03,377622
3-May-10,32.01,33.08,31.94,32.79,326925
30-Apr-10,31.95,32.60,31.81,31.87,360723
29-Apr-10,31.04,32.20,31.01,32.13,386845
28-Apr-10,31.57,31.58,30.50,30.70,858822
27-Apr-10,31.91,32.26,31.15,31.31,696347
26-Apr-10,32.02,34.99,32.01,32.61,1476121
23-Apr-10,32.08,33.76,32.08,32.45,706408
22-Apr-10,30.16,32.39,29.83,32.18,735396
21-Apr-10,29.58,30.62,29.58,30.48,411089
20-Apr-10,28.99,29.63,28.86,29.58,266396
19-Apr-10,29.29,29.29,28.35,28.84,405606
16-Apr-10,29.40,29.56,28.60,29.22,354171
15-Apr-10,29.05,29.56,28.70,29.36,264510
14-Apr-10,28.85,29.24,28.61,29.19,307430
13-Apr-10,28.65,28.79,28.32,28.65,242224
12-Apr-10,29.02,29.17,28.55,28.65,384450
9-Apr-10,27.96,29.16,27.76,29.07,593802
8-Apr-10,26.99,28.00,26.76,27.79,454343
7-Apr-10,26.96,27.52,26.96,27.12,430394
6-Apr-10,27.10,27.18,26.96,27.12,84996
5-Apr-10,26.91,27.39,26.77,27.24,94325
1-Apr-10,26.56,27.42,26.56,26.92,140069
31-Mar-10,26.88,27.11,26.52,26.54,332650
30-Mar-10,26.54,26.95,26.53,26.85,273607
29-Mar-10,26.01,26.66,25.72,26.60,213520
26-Mar-10,25.80,26.22,25.41,25.76,308080
25-Mar-10,26.04,26.62,25.55,25.58,248894
24-Mar-10,25.87,26.03,25.69,25.96,155809
23-Mar-10,26.38,26.52,25.96,26.10,155597
22-Mar-10,25.51,26.42,25.48,26.35,297227
19-Mar-10,25.77,26.01,25.58,25.76,281153
18-Mar-10,26.34,26.55,25.60,25.81,266501
17-Mar-10,25.61,26.60,25.48,26.47,384329
16-Mar-10,25.24,25.55,25.09,25.49,215303
15-Mar-10,25.66,25.66,24.96,25.13,306424
12-Mar-10,26.06,26.06,25.56,25.63,221312
11-Mar-10,25.45,25.98,25.22,25.93,238185
10-Mar-10,25.66,25.69,25.45,25.62,309090
9-Mar-10,25.09,25.60,24.87,25.49,330619
8-Mar-10,24.40,25.22,24.40,25.10,316014
5-Mar-10,23.97,24.50,23.95,24.44,457515
4-Mar-10,24.25,24.40,23.89,24.00,535346
3-Mar-10,24.09,24.40,23.88,24.11,271283
2-Mar-10,24.39,24.65,24.07,24.19,197221
1-Mar-10,23.53,24.19,23.40,24.18,338135
26-Feb-10,23.86,23.97,23.34,23.59,287069
25-Feb-10,23.89,24.20,23.64,23.90,446170
24-Feb-10,24.08,24.15,23.84,24.10,539570
23-Feb-10,23.67,24.21,23.59,24.02,749730
22-Feb-10,24.03,24.03,23.65,23.85,146263
19-Feb-10,23.83,23.94,23.68,23.85,191921
18-Feb-10,23.71,24.06,23.67,23.93,240121
17-Feb-10,23.83,24.02,23.73,23.74,176957
16-Feb-10,22.71,23.96,22.55,23.82,766259
12-Feb-10,21.98,22.62,21.90,22.62,255264
11-Feb-10,22.18,22.34,22.00,22.32,347844
10-Feb-10,22.45,22.60,21.90,22.18,281091
9-Feb-10,22.72,22.94,22.07,22.41,413928
8-Feb-10,23.07,23.27,22.52,22.57,349214
5-Feb-10,22.77,23.19,22.51,23.19,313419
4-Feb-10,23.09,23.18,22.60,22.81,294067
3-Feb-10,23.58,23.65,23.07,23.32,288259
2-Feb-10,23.36,23.83,23.26,23.78,445431
1-Feb-10,22.92,23.25,22.68,23.25,806143
29-Jan-10,23.00,23.21,22.73,22.81,476355
28-Jan-10,23.11,23.28,22.50,22.88,434111
27-Jan-10,23.72,23.72,22.35,23.18,1137014
26-Jan-10,23.90,24.52,23.80,24.14,375146
25-Jan-10,24.33,24.46,23.76,24.02,241856
22-Jan-10,24.46,24.63,24.02,24.17,338786
21-Jan-10,25.20,25.38,24.46,24.52,283294
20-Jan-10,24.94,25.26,24.74,25.14,221755
19-Jan-10,25.06,25.29,24.79,25.18,234290
15-Jan-10,25.25,25.25,24.81,25.04,347418
14-Jan-10,25.16,25.38,24.96,25.30,333595
13-Jan-10,24.92,25.38,24.53,25.35,427741
12-Jan-10,24.55,24.84,24.49,24.76,310035
11-Jan-10,24.55,24.77,24.35,24.72,719576
8-Jan-10,24.83,24.89,24.38,24.62,448019
7-Jan-10,25.05,25.13,24.52,24.79,663741
6-Jan-10,25.16,25.36,25.03,25.12,411328
5-Jan-10,25.71,25.76,25.17,25.32,714199
4-Jan-10,26.24,26.27,25.70,25.83,376991
31-Dec-09,26.25,26.25,25.93,26.05,426858
30-Dec-09,26.14,26.34,25.94,26.15,320336
29-Dec-09,26.53,26.60,26.29,26.30,292065
28-Dec-09,26.91,27.15,26.40,26.53,227263
24-Dec-09,26.98,27.06,26.81,26.96,97882
23-Dec-09,27.03,27.10,26.76,26.82,191825
22-Dec-09,26.27,26.96,26.27,26.91,258307
21-Dec-09,26.28,26.59,26.07,26.40,262460
18-Dec-09,26.14,26.29,25.92,26.16,798641
17-Dec-09,26.33,26.54,25.97,26.05,332213
16-Dec-09,26.78,26.95,26.38,26.52,248249
15-Dec-09,26.70,26.93,26.26,26.65,255384
14-Dec-09,27.05,27.05,26.44,26.75,494428
11-Dec-09,26.76,27.18,26.47,26.80,396316
10-Dec-09,27.11,27.68,26.61,26.81,231791
9-Dec-09,26.87,27.24,26.63,26.92,103668
8-Dec-09,27.15,27.28,26.75,26.98,197318
7-Dec-09,27.40,27.50,27.21,27.40,145070
4-Dec-09,27.73,28.08,27.25,27.53,119224
3-Dec-09,27.76,28.15,27.28,27.35,116829
2-Dec-09,27.47,28.36,27.27,27.82,264286
1-Dec-09,27.31,27.72,27.20,27.38,134626
30-Nov-09,27.07,27.38,26.56,26.96,260075
27-Nov-09,27.13,27.66,27.02,27.08,42993
25-Nov-09,27.51,27.91,27.42,27.75,106283
24-Nov-09,27.69,27.69,27.05,27.39,103079
