Date,Open,High,Low,Close,Volume
20-May-11,8.03,8.16,7.89,8.03,13339664
19-May-11,8.18,8.19,8.00,8.05,9784305
18-May-11,8.19,8.29,8.09,8.14,10325478
17-May-11,7.98,8.10,7.82,8.08,11538784
16-May-11,8.05,8.35,7.96,8.01,9250530
13-May-11,8.21,8.33,7.93,8.13,9715449
12-May-11,8.03,8.34,7.88,8.14,15668670
11-May-11,8.50,8.53,8.06,8.24,11093974
10-May-11,8.68,8.82,8.58,8.60,11275004
9-May-11,8.45,8.65,8.23,8.65,11313032
6-May-11,8.19,8.40,8.00,8.09,11827158
5-May-11,8.21,8.28,7.85,7.98,17507524
4-May-11,8.34,8.51,8.06,8.31,16200865
3-May-11,8.80,8.85,8.17,8.42,21241985
2-May-11,9.18,9.41,8.82,8.87,11276014
29-Apr-11,9.30,9.46,9.24,9.41,9373789
28-Apr-11,9.52,9.62,9.23,9.32,10811431
27-Apr-11,9.18,9.52,8.90,9.49,13223151
26-Apr-11,9.16,9.20,8.97,9.13,11186854
25-Apr-11,9.63,9.65,9.26,9.28,10413318
21-Apr-11,9.37,9.47,9.25,9.46,8333371
20-Apr-11,9.19,9.33,9.10,9.22,9013271
19-Apr-11,8.93,9.03,8.74,9.01,9708121
18-Apr-11,9.08,9.30,8.71,8.86,19112499
15-Apr-11,9.65,9.69,9.47,9.61,12133921
14-Apr-11,9.23,9.60,9.19,9.53,12242884
13-Apr-11,9.17,9.29,9.00,9.19,9350956
12-Apr-11,9.14,9.27,8.89,8.98,10947286
11-Apr-11,9.81,9.88,9.00,9.13,12934146
8-Apr-11,9.80,9.95,9.66,9.76,11682869
7-Apr-11,9.49,9.73,9.40,9.55,8233113
6-Apr-11,9.66,9.78,9.41,9.51,11307626
5-Apr-11,9.07,9.55,9.04,9.53,9702845
4-Apr-11,9.17,9.28,9.08,9.13,6106245
1-Apr-11,8.94,9.11,8.89,9.00,6280912
31-Mar-11,9.21,9.27,9.06,9.08,6757821
30-Mar-11,9.03,9.09,8.76,9.05,9575976
29-Mar-11,8.73,9.05,8.66,8.87,6178592
28-Mar-11,8.78,9.07,8.75,8.81,6648782
25-Mar-11,9.18,9.29,8.90,8.98,9931842
24-Mar-11,9.41,9.53,9.10,9.12,17177377
23-Mar-11,8.80,9.35,8.71,9.26,14921383
22-Mar-11,8.70,8.84,8.52,8.71,7830217
21-Mar-11,8.61,8.71,8.41,8.70,8590930
18-Mar-11,8.25,8.47,8.04,8.34,21484039
17-Mar-11,8.25,8.41,8.08,8.08,12869180
16-Mar-11,8.61,8.62,8.03,8.15,17580891
15-Mar-11,7.93,8.60,7.81,8.51,16753506
14-Mar-11,8.94,8.94,8.40,8.57,13635247
11-Mar-11,8.54,9.19,8.42,9.00,10199214
10-Mar-11,9.00,9.00,8.65,8.74,14191331
9-Mar-11,9.48,9.58,9.15,9.21,8887556
8-Mar-11,9.46,9.58,9.02,9.49,12752584
7-Mar-11,10.26,10.32,9.42,9.53,17204413
4-Mar-11,10.03,10.30,10.01,10.12,11026829
3-Mar-11,10.03,10.08,9.78,9.95,12644124
2-Mar-11,10.36,10.42,10.07,10.24,10484674
1-Mar-11,10.34,10.51,10.17,10.28,16096185
28-Feb-11,11.01,11.08,9.74,10.15,26485127
25-Feb-11,10.17,10.82,10.17,10.79,12276170
24-Feb-11,10.58,10.58,10.04,10.09,12076364
23-Feb-11,10.41,10.76,10.35,10.55,12031569
22-Feb-11,11.04,11.08,10.36,10.40,15907816
18-Feb-11,10.38,10.76,10.32,10.58,17620959
17-Feb-11,10.12,10.30,9.98,10.27,9573033
16-Feb-11,10.05,10.10,9.71,9.99,12756135
15-Feb-11,10.08,10.24,10.03,10.15,10617921
14-Feb-11,9.63,9.93,9.63,9.83,8057182
11-Feb-11,9.66,9.76,9.42,9.54,7922821
10-Feb-11,9.27,9.62,9.10,9.57,9880285
9-Feb-11,9.85,9.92,9.41,9.45,11605049
8-Feb-11,9.86,9.94,9.74,9.82,9443017
7-Feb-11,9.79,9.96,9.63,9.65,10025150
4-Feb-11,9.92,10.05,9.61,9.67,13456932
3-Feb-11,9.30,9.90,9.09,9.84,13365036
2-Feb-11,9.36,9.39,9.10,9.22,8202606
1-Feb-11,9.15,9.38,9.01,9.35,10426041
31-Jan-11,9.00,9.20,8.84,9.00,12755557
28-Jan-11,8.56,9.30,8.50,9.09,20103524
27-Jan-11,9.06,9.10,8.56,8.60,15154634
26-Jan-11,8.43,9.08,8.41,9.07,15718705
25-Jan-11,8.38,8.46,8.19,8.41,16548416
24-Jan-11,8.58,8.83,8.43,8.53,12849929
21-Jan-11,8.91,9.00,8.63,8.64,13320148
20-Jan-11,9.11,9.12,8.70,8.95,19458511
19-Jan-11,9.98,10.04,9.47,9.50,9131446
18-Jan-11,9.71,9.88,9.68,9.76,8338623
14-Jan-11,9.53,9.70,9.45,9.58,10794866
13-Jan-11,10.34,10.38,9.67,9.75,12564631
12-Jan-11,10.40,10.44,10.16,10.31,8017431
11-Jan-11,10.30,10.45,10.21,10.35,9462668
10-Jan-11,10.07,10.17,9.90,10.08,8543075
7-Jan-11,9.72,10.25,9.70,10.02,13492880
6-Jan-11,10.39,10.42,9.90,9.92,13638562
5-Jan-11,10.16,10.49,9.88,10.43,16446225
4-Jan-11,11.03,11.08,10.12,10.48,22754666
3-Jan-11,11.42,11.56,11.16,11.24,13805777
31-Dec-10,11.22,11.42,11.12,11.26,5593046
30-Dec-10,11.37,11.44,11.07,11.13,7603673
29-Dec-10,11.38,11.52,11.30,11.34,9550079
28-Dec-10,10.98,11.34,10.86,11.24,17312773
27-Dec-10,10.87,10.88,10.59,10.66,6668243
23-Dec-10,10.62,10.93,10.51,10.77,8481115
22-Dec-10,11.00,11.04,10.74,10.74,9071740
21-Dec-10,10.89,11.03,10.72,10.93,8363584
20-Dec-10,10.72,10.90,10.52,10.83,9184159
17-Dec-10,10.60,10.79,10.50,10.60,14995668
16-Dec-10,10.72,10.72,10.27,10.57,14957350
15-Dec-10,10.82,11.04,10.73,10.73,12935867
14-Dec-10,11.05,11.30,10.88,11.03,14816156
13-Dec-10,11.07,11.27,10.90,11.00,15485624
10-Dec-10,10.34,10.72,10.12,10.68,12227992
9-Dec-10,10.42,10.61,10.26,10.44,13813548
8-Dec-10,10.36,10.38,9.90,10.23,21786702
7-Dec-10,11.37,11.40,10.50,10.51,26832926
6-Dec-10,10.80,11.05,10.63,11.01,18177747
3-Dec-10,9.86,10.56,9.77,10.50,20705549
2-Dec-10,9.73,9.94,9.62,9.75,14341386
1-Dec-10,9.80,9.95,9.60,9.72,14127892
