Date,Open,High,Low,Close,Volume
22-Apr-10,18.45,18.72,18.39,18.71,10169
21-Apr-10,18.58,18.60,18.47,18.57,18241
20-Apr-10,18.57,18.71,18.55,18.68,11743
19-Apr-10,18.22,18.37,18.14,18.34,13841
16-Apr-10,18.65,18.65,18.28,18.44,38918
15-Apr-10,18.82,18.82,18.67,18.75,22017
14-Apr-10,18.57,18.76,18.45,18.72,11393
13-Apr-10,18.50,18.50,18.35,18.49,7616
12-Apr-10,18.61,18.72,18.49,18.60,40451
9-Apr-10,18.31,18.56,18.31,18.55,26835
8-Apr-10,18.05,18.37,18.00,18.31,15070
7-Apr-10,18.35,18.37,18.17,18.17,11235
6-Apr-10,18.36,18.52,18.30,18.45,25437
5-Apr-10,18.01,18.42,18.01,18.38,56036
1-Apr-10,-,-,-,17.89,0
31-Mar-10,17.20,17.50,17.20,17.38,6483
30-Mar-10,17.16,17.25,17.11,17.23,8795
29-Mar-10,16.94,17.21,16.94,17.21,8739
26-Mar-10,16.89,16.94,16.72,16.82,10402
25-Mar-10,17.38,17.44,16.88,16.89,14927
24-Mar-10,17.37,17.41,17.26,17.30,12490
23-Mar-10,17.15,17.38,17.15,17.38,7823
22-Mar-10,17.00,17.16,16.94,17.14,51608
19-Mar-10,17.06,17.08,16.95,17.07,4892
18-Mar-10,17.65,17.67,17.29,17.34,8482
17-Mar-10,17.59,17.77,17.59,17.69,15573
16-Mar-10,17.38,17.54,17.36,17.54,27324
15-Mar-10,17.49,17.49,17.18,17.38,49394
12-Mar-10,17.51,17.52,17.42,17.48,9797
11-Mar-10,17.31,17.42,17.31,17.42,3676
10-Mar-10,17.20,17.39,17.17,17.34,19808
9-Mar-10,17.13,17.29,17.13,17.17,10150
8-Mar-10,17.23,17.23,17.09,17.13,12036
5-Mar-10,17.00,17.22,17.00,17.19,8980
4-Mar-10,16.88,16.92,16.84,16.89,1505
3-Mar-10,17.01,17.15,17.01,17.02,13298
2-Mar-10,16.96,17.12,16.96,17.01,4921
1-Mar-10,16.67,16.89,16.67,16.88,8373
26-Feb-10,16.65,16.71,16.56,16.65,7241
25-Feb-10,16.17,16.62,16.17,16.57,31530
24-Feb-10,16.48,16.56,16.38,16.50,8468
23-Feb-10,16.52,16.52,16.38,16.39,6985
22-Feb-10,17.07,17.07,16.75,16.77,10883
19-Feb-10,16.89,17.06,16.88,16.97,9738
18-Feb-10,16.88,16.97,16.81,16.95,11933
17-Feb-10,16.86,16.90,16.78,16.86,9604
16-Feb-10,16.60,16.83,16.59,16.79,21101
12-Feb-10,-,-,-,16.32,0
11-Feb-10,15.90,16.26,15.90,16.26,9113
10-Feb-10,15.89,15.97,15.71,15.93,8592
9-Feb-10,15.90,16.08,15.90,15.93,23166
8-Feb-10,15.77,15.94,15.77,15.78,6214
5-Feb-10,15.83,15.83,15.34,15.73,43752
4-Feb-10,16.39,16.39,15.82,15.82,171350
3-Feb-10,16.76,16.79,16.56,16.59,5465
2-Feb-10,16.63,16.88,16.47,16.83,122512
1-Feb-10,16.15,16.53,16.15,16.53,32310
29-Jan-10,16.38,16.57,16.00,16.00,20218
28-Jan-10,16.49,16.55,16.06,16.31,16104
27-Jan-10,16.58,16.65,16.24,16.44,15584
26-Jan-10,16.65,16.79,16.56,16.60,10560
25-Jan-10,16.79,16.81,16.66,16.75,18568
22-Jan-10,16.82,16.89,16.51,16.54,21882
21-Jan-10,17.20,17.23,16.85,16.85,16668
20-Jan-10,17.05,17.16,16.98,17.14,30434
19-Jan-10,17.13,17.31,17.09,17.28,40738
15-Jan-10,-,-,-,17.08,0
14-Jan-10,17.22,17.30,17.18,17.27,11470
13-Jan-10,17.13,17.21,16.89,17.19,20163
12-Jan-10,17.34,17.34,17.08,17.11,25899
11-Jan-10,17.72,17.75,17.42,17.52,34451
8-Jan-10,17.47,17.58,17.41,17.55,37739
7-Jan-10,17.69,17.69,17.42,17.57,25735
6-Jan-10,17.46,17.67,17.46,17.65,13811
5-Jan-10,17.38,17.51,17.29,17.51,42695
4-Jan-10,16.76,17.30,16.76,17.28,19632
31-Dec-09,-,-,-,16.58,0
30-Dec-09,16.82,16.84,16.73,16.79,25894
29-Dec-09,16.99,17.10,16.89,16.89,44297
28-Dec-09,17.10,17.13,16.93,16.99,12418
24-Dec-09,16.99,17.03,16.95,17.00,10648
23-Dec-09,16.71,16.90,16.43,16.89,15502
