Date,Open,High,Low,Close,Volume
22-Aug-11,19.74,19.81,18.22,18.59,5816663
19-Aug-11,19.02,20.05,18.90,19.16,3258977
18-Aug-11,20.12,20.15,19.15,19.39,4487729
17-Aug-11,21.00,21.60,20.64,20.85,2662149
16-Aug-11,21.04,21.29,20.48,20.79,3749027
15-Aug-11,20.65,21.56,20.56,21.53,4371271
12-Aug-11,20.60,20.75,20.11,20.32,3881883
11-Aug-11,18.94,20.62,18.63,20.27,8644783
10-Aug-11,19.27,19.77,18.58,18.66,12294772
9-Aug-11,18.70,19.86,18.44,19.46,10288474
8-Aug-11,20.24,20.87,17.82,18.39,11119678
5-Aug-11,22.15,22.42,20.04,21.48,8115499
4-Aug-11,23.21,23.34,21.76,21.80,8586484
3-Aug-11,23.32,23.45,22.45,23.40,6201086
2-Aug-11,24.29,24.70,23.34,23.37,4983629
1-Aug-11,24.78,24.97,24.05,24.58,4493508
29-Jul-11,23.62,24.49,23.24,24.29,3105587
28-Jul-11,24.32,24.88,23.98,24.04,2313245
27-Jul-11,25.11,25.13,24.13,24.42,4059026
26-Jul-11,24.95,25.79,24.83,25.34,4327392
25-Jul-11,24.00,25.51,23.92,25.16,5174615
22-Jul-11,24.31,24.50,24.17,24.37,3023560
21-Jul-11,23.89,24.45,23.67,24.34,3164606
20-Jul-11,23.97,23.97,23.46,23.71,2190875
19-Jul-11,23.43,23.95,23.37,23.80,2926588
18-Jul-11,23.43,23.43,22.82,23.19,2923924
15-Jul-11,23.13,23.59,23.13,23.48,3843488
14-Jul-11,23.66,23.77,22.77,22.96,4766987
13-Jul-11,23.51,24.14,23.45,23.56,3608790
12-Jul-11,23.44,24.02,23.34,23.38,4874896
11-Jul-11,24.06,24.17,23.57,24.05,4426395
8-Jul-11,24.06,24.68,23.92,24.44,4849319
7-Jul-11,24.33,24.93,24.31,24.48,4551609
6-Jul-11,23.66,24.39,23.56,24.10,6581858
5-Jul-11,23.07,23.34,22.93,23.15,2807932
1-Jul-11,22.91,23.08,22.28,23.06,2861133
30-Jun-11,22.26,22.95,22.25,22.91,4121738
29-Jun-11,22.21,22.50,21.67,22.12,3968051
28-Jun-11,21.29,22.15,21.22,22.01,3633051
27-Jun-11,20.94,21.34,20.62,21.17,4228235
24-Jun-11,22.28,22.41,20.80,20.84,5946743
23-Jun-11,21.66,22.43,21.10,22.39,5191883
22-Jun-11,21.85,22.56,21.85,22.07,4982175
21-Jun-11,21.23,22.15,21.23,21.89,4452102
20-Jun-11,20.66,21.02,20.38,21.01,3974564
17-Jun-11,21.25,21.50,20.64,20.87,4184565
16-Jun-11,21.19,21.37,20.68,21.00,4229713
15-Jun-11,21.55,21.80,21.06,21.30,5500414
14-Jun-11,21.25,22.16,21.24,21.94,7650178
13-Jun-11,21.07,21.55,20.59,20.91,5141418
10-Jun-11,21.36,21.54,20.98,21.04,5588717
9-Jun-11,21.61,21.89,21.40,21.47,4772646
8-Jun-11,21.80,22.07,21.47,21.50,3539482
7-Jun-11,21.89,22.28,21.79,21.88,5192116
6-Jun-11,22.77,22.81,21.55,21.62,4191229
3-Jun-11,22.40,22.96,22.04,22.68,4121385
2-Jun-11,23.62,23.85,22.67,22.71,5606186
1-Jun-11,24.37,24.68,23.56,23.64,4837215
31-May-11,24.56,24.63,23.96,24.40,3104581
27-May-11,23.86,24.42,23.80,24.14,3066975
26-May-11,23.77,24.04,23.41,23.66,5150792
25-May-11,23.48,24.05,23.32,23.83,5841142
24-May-11,23.89,24.43,23.46,23.51,4127123
23-May-11,23.19,23.68,22.74,23.62,4291591
20-May-11,24.03,24.11,23.42,23.65,4105244
19-May-11,24.46,24.68,23.86,24.07,4135674
18-May-11,23.53,24.74,23.53,24.42,6686934
17-May-11,23.26,23.82,23.03,23.41,5889108
16-May-11,23.32,24.28,23.12,23.45,7644334
13-May-11,23.99,24.21,23.29,23.43,8282102
12-May-11,24.53,24.53,23.74,23.80,8069172
11-May-11,25.66,25.66,24.38,24.58,6757393
10-May-11,26.21,26.35,25.73,25.80,6993304
9-May-11,24.88,25.90,24.79,25.79,4959011
6-May-11,24.56,25.52,24.47,24.91,6434963
5-May-11,24.35,25.00,23.27,24.27,9475055
4-May-11,25.07,25.18,24.03,24.89,6537865
3-May-11,26.27,26.47,25.00,25.01,6028959
2-May-11,27.23,27.50,26.11,26.29,4920698
29-Apr-11,26.65,27.21,26.62,27.12,2734869
28-Apr-11,26.92,27.15,26.35,26.68,4614466
27-Apr-11,26.91,27.13,25.43,26.89,6831754
26-Apr-11,27.72,27.82,26.68,26.76,6802767
25-Apr-11,27.68,27.94,27.34,27.64,4675026
21-Apr-11,27.74,27.93,27.17,27.55,4693256
20-Apr-11,27.60,28.13,27.36,27.62,6452728
19-Apr-11,26.06,27.25,26.00,27.15,6959244
18-Apr-11,26.10,26.33,25.53,26.08,4873427
15-Apr-11,26.35,26.58,26.01,26.54,4531979
14-Apr-11,25.89,26.28,25.49,26.13,4232488
13-Apr-11,25.60,26.56,25.52,26.25,4977122
12-Apr-11,25.34,25.70,24.66,25.22,6042482
11-Apr-11,25.99,26.27,25.50,25.65,3632305
8-Apr-11,26.69,27.11,25.48,25.79,6545675
7-Apr-11,27.36,27.38,26.30,26.68,5302632
6-Apr-11,28.51,28.74,27.11,27.39,4938162
5-Apr-11,27.80,28.61,27.67,28.23,5199070
4-Apr-11,27.16,27.88,27.11,27.86,3417137
1-Apr-11,27.16,27.40,26.76,27.04,3766449
31-Mar-11,27.76,27.99,26.60,26.83,5980383
30-Mar-11,27.20,27.80,26.97,27.76,5471657
29-Mar-11,26.50,27.15,26.06,27.13,4348134
28-Mar-11,26.70,26.85,26.30,26.55,5275001
25-Mar-11,26.14,26.85,26.10,26.57,5702479
24-Mar-11,25.62,26.16,24.99,26.02,7945031
23-Mar-11,25.49,25.64,25.11,25.49,5855365
22-Mar-11,25.68,25.83,25.17,25.49,3581110
21-Mar-11,25.03,25.80,24.87,25.63,7527128
18-Mar-11,25.37,25.43,24.46,24.62,7240311
17-Mar-11,25.12,25.65,24.83,24.91,4573637
16-Mar-11,24.81,25.34,24.26,24.54,7358412
15-Mar-11,24.74,25.96,24.18,24.84,11584727
14-Mar-11,24.86,26.72,24.86,25.98,15542658
11-Mar-11,22.73,24.61,22.62,24.51,7289798
10-Mar-11,23.43,23.50,22.37,22.60,6398297
9-Mar-11,23.29,23.91,22.98,23.74,4893987
8-Mar-11,24.35,24.37,23.23,23.25,7367116
7-Mar-11,25.00,25.08,23.65,24.29,6948559
4-Mar-11,25.20,25.93,24.71,24.92,8413176
3-Mar-11,23.79,25.24,23.54,25.10,9605277
2-Mar-11,22.91,23.62,22.70,23.36,8294285
1-Mar-11,23.87,23.96,22.84,22.99,8078243
28-Feb-11,24.33,24.72,23.55,23.78,6655184
25-Feb-11,22.92,24.23,22.89,24.17,6499363
24-Feb-11,24.25,24.26,22.36,23.01,10904159
23-Feb-11,23.58,24.54,23.46,24.31,9894028
22-Feb-11,24.25,24.50,23.38,23.64,9459171
18-Feb-11,25.51,25.60,24.12,24.15,13777690
17-Feb-11,24.68,25.93,24.50,25.83,12265690
16-Feb-11,23.74,24.60,23.74,24.46,8120365
15-Feb-11,23.63,23.90,23.10,23.57,7281281
14-Feb-11,21.98,23.75,21.98,23.66,9596067
11-Feb-11,21.72,22.01,21.38,21.92,6230302
10-Feb-11,20.67,21.58,20.67,21.51,6070098
9-Feb-11,21.31,21.40,20.55,20.97,5199316
8-Feb-11,21.29,21.46,20.95,21.44,6298381
7-Feb-11,21.67,21.77,21.17,21.25,7755274
4-Feb-11,20.50,21.77,20.41,20.79,12603058
3-Feb-11,19.57,20.16,19.03,20.13,6902784
2-Feb-11,19.77,20.40,19.53,19.65,6884739
1-Feb-11,19.37,19.92,19.30,19.83,5251557
31-Jan-11,18.90,19.43,18.89,19.25,4488819
28-Jan-11,18.93,19.06,18.61,18.87,4318823
27-Jan-11,18.63,19.05,18.51,18.92,3401280
26-Jan-11,18.16,18.78,18.01,18.67,5198334
25-Jan-11,18.01,18.12,17.78,17.98,5208856
24-Jan-11,17.75,18.11,17.68,18.10,3918796
21-Jan-11,18.17,18.24,17.92,18.03,2937077
20-Jan-11,18.49,18.49,17.60,18.06,5489073
19-Jan-11,19.28,19.38,18.54,18.69,4146169
18-Jan-11,18.98,19.31,18.83,19.23,3185077
14-Jan-11,18.89,19.01,18.43,18.85,5479515
13-Jan-11,19.32,19.32,18.74,18.89,8929261
12-Jan-11,18.89,18.95,18.67,18.77,5196141
11-Jan-11,19.02,19.13,18.55,18.73,4449104
10-Jan-11,19.35,19.45,18.91,18.95,4765865
7-Jan-11,19.44,19.53,19.00,19.35,3487704
6-Jan-11,19.25,19.74,19.00,19.45,5915632
5-Jan-11,18.44,19.37,18.37,19.12,6277259
4-Jan-11,18.77,18.88,18.28,18.56,4600012
3-Jan-11,18.99,19.10,18.71,18.84,3244827
31-Dec-10,18.34,18.71,18.21,18.54,3180926
30-Dec-10,18.71,18.72,18.25,18.26,2860561
29-Dec-10,18.41,18.82,18.34,18.68,2120121
28-Dec-10,18.41,18.46,18.23,18.41,1511999
27-Dec-10,18.29,18.47,18.20,18.38,1664335
23-Dec-10,18.70,18.73,18.23,18.32,3175745
22-Dec-10,18.67,18.94,18.50,18.57,4628447
21-Dec-10,18.42,18.54,18.16,18.46,4356583
20-Dec-10,17.55,18.41,17.55,18.38,7679343
17-Dec-10,17.20,17.63,17.15,17.44,6747787
16-Dec-10,16.66,17.25,16.61,17.19,5864874
15-Dec-10,16.50,16.79,16.41,16.68,7307550
14-Dec-10,16.92,17.06,16.59,16.74,7071813
13-Dec-10,17.39,17.54,16.75,17.12,7340633
10-Dec-10,17.24,17.47,17.14,17.42,4503333
9-Dec-10,17.18,17.31,17.06,17.16,5706852
8-Dec-10,17.29,17.39,16.83,17.09,6911549
