Date,Open,High,Low,Close,Volume
20-May-11,38.96,39.63,38.04,39.47,5439641
19-May-11,39.56,39.80,38.95,39.07,3287011
18-May-11,39.15,40.03,38.98,39.50,3944786
17-May-11,38.26,38.60,37.72,38.56,5647379
16-May-11,39.26,39.52,38.45,38.51,4036947
13-May-11,39.28,39.61,38.54,39.44,4837016
12-May-11,38.74,39.87,38.12,39.28,6113987
11-May-11,40.65,40.67,38.73,39.35,6498835
10-May-11,40.21,41.25,39.98,41.08,3475560
9-May-11,39.43,41.04,39.28,40.87,6190244
6-May-11,39.26,40.65,38.52,38.87,10092078
5-May-11,42.01,42.04,39.02,39.34,13635545
4-May-11,43.91,44.00,43.09,43.27,3125252
3-May-11,44.76,44.82,43.81,44.08,4423200
2-May-11,45.01,45.59,44.93,44.94,3098941
29-Apr-11,44.89,45.34,44.71,45.15,993738
28-Apr-11,44.81,45.25,44.36,44.83,2487277
27-Apr-11,44.57,45.04,43.98,45.02,2607145
26-Apr-11,44.44,44.69,44.30,44.48,1448192
25-Apr-11,44.88,44.89,44.12,44.53,1590643
21-Apr-11,-,-,-,44.57,0
20-Apr-11,43.47,44.34,43.37,44.22,3711882
19-Apr-11,42.62,43.33,42.50,42.94,1796241
18-Apr-11,43.15,43.19,42.55,42.87,1933350
15-Apr-11,43.07,43.96,42.96,43.70,1946032
14-Apr-11,42.71,43.35,42.62,43.28,1822367
13-Apr-11,42.67,42.95,42.10,42.75,2464594
12-Apr-11,43.25,43.25,42.17,42.30,3537623
11-Apr-11,44.79,44.88,43.58,43.60,3161015
8-Apr-11,44.43,45.19,44.33,45.15,2745573
7-Apr-11,43.50,44.10,43.31,43.99,2239700
6-Apr-11,43.37,43.59,43.13,43.37,3086397
5-Apr-11,43.12,43.38,43.02,43.10,2003112
4-Apr-11,43.13,43.39,43.00,43.25,2271364
1-Apr-11,42.71,43.21,42.48,43.17,3393342
31-Mar-11,42.42,42.67,42.20,42.58,3217514
30-Mar-11,41.69,42.01,41.34,41.65,1522437
29-Mar-11,41.45,41.95,41.32,41.83,1712506
28-Mar-11,41.43,41.91,41.42,41.42,3002216
25-Mar-11,41.99,42.33,41.75,42.18,2653535
24-Mar-11,42.26,42.53,41.87,42.06,2723229
23-Mar-11,42.10,42.49,41.99,42.11,3165535
22-Mar-11,41.07,42.03,40.96,41.92,3610028
21-Mar-11,41.29,41.45,41.02,41.12,2480941
18-Mar-11,40.61,41.01,40.38,40.97,5686578
17-Mar-11,40.36,41.14,40.21,40.89,3166521
16-Mar-11,39.69,40.19,39.21,39.65,4997631
15-Mar-11,39.37,40.03,39.16,39.39,5918366
14-Mar-11,40.59,40.94,40.28,40.91,3175918
11-Mar-11,40.37,41.02,40.36,40.71,6833177
10-Mar-11,41.76,42.15,40.73,41.39,7464427
9-Mar-11,42.61,42.69,42.03,42.05,4513676
8-Mar-11,42.54,42.60,41.92,42.31,4393058
7-Mar-11,42.78,42.83,42.26,42.37,4652583
4-Mar-11,41.70,42.41,41.57,42.30,6426097
