Date,Open,High,Low,Close,Volume
19-Nov-03,17.33,17.64,17.15,17.60,9885700
18-Nov-03,17.39,17.87,17.30,17.33,11668200
17-Nov-03,17.86,17.56,16.85,17.36,12046100
14-Nov-03,18.25,18.33,17.59,17.86,13635300
13-Nov-03,18.29,18.29,18.29,18.29,0
12-Nov-03,16.70,18.09,16.70,18.08,21474500
11-Nov-03,16.45,16.75,16.30,16.62,15435000
10-Nov-03,17.13,17.10,16.35,16.82,11653200
7-Nov-03,17.03,17.18,16.61,17.01,15137900
6-Nov-03,17.04,17.04,17.04,17.04,0
5-Nov-03,16.50,17.04,16.45,17.01,12767300
4-Nov-03,16.00,16.67,15.82,16.55,27398884
3-Nov-03,15.50,16.00,15.42,15.93,8669213
31-Oct-03,15.20,15.26,14.97,15.20,7630200
30-Oct-03,15.18,15.18,15.18,15.18,0
29-Oct-03,14.61,15.15,14.67,15.09,10621600
28-Oct-03,13.99,14.85,13.96,14.85,13919500
27-Oct-03,13.75,13.95,13.70,13.85,6223900
24-Oct-03,13.40,13.59,13.26,13.59,5928100
23-Oct-03,13.70,13.68,13.38,13.65,10244300
22-Oct-03,13.96,13.96,13.96,13.96,0
21-Oct-03,14.25,14.44,14.13,14.29,19724500
20-Oct-03,14.10,14.20,13.87,14.12,9147100
17-Oct-03,14.84,14.56,13.94,13.99,31682900
16-Oct-03,13.96,13.96,13.96,13.96,0
15-Oct-03,14.05,14.38,13.63,13.66,16138300
14-Oct-03,13.42,13.65,13.20,13.63,9352000
13-Oct-03,13.48,13.46,13.25,13.40,7004300
10-Oct-03,13.12,13.36,13.06,13.24,5701500
9-Oct-03,13.09,13.09,13.09,13.09,0
8-Oct-03,12.90,13.16,12.77,12.96,13016700
7-Oct-03,12.30,12.80,12.16,12.79,13076600
6-Oct-03,11.99,12.22,11.91,12.16,6091500
3-Oct-03,11.86,12.28,11.84,11.89,11828400
2-Oct-03,11.69,11.69,11.69,11.69,0
1-Oct-03,11.11,11.31,11.01,11.17,9323000
30-Sep-03,11.06,11.34,10.52,11.11,9746300
29-Sep-03,11.05,11.25,11.03,11.20,11773900
26-Sep-03,11.31,11.45,10.86,10.87,13277500
25-Sep-03,11.37,11.37,11.37,11.37,0
24-Sep-03,12.40,12.53,11.50,11.55,21476000
23-Sep-03,12.60,12.69,12.15,12.38,13684200
22-Sep-03,12.56,12.60,12.20,12.42,9367300
