Date,Open,High,Low,Close,Volume
10-Apr-08,46.85,47.37,46.43,47.17,38889801
9-Apr-08,47.08,47.25,46.31,46.50,38694900
8-Apr-08,47.10,47.48,46.91,47.24,37751700
7-Apr-08,47.70,48.14,47.21,47.50,48986499
4-Apr-08,46.83,47.50,46.53,46.88,44908401
3-Apr-08,46.34,47.37,46.20,47.07,49434501
2-Apr-08,46.47,46.85,45.95,46.50,49012599
1-Apr-08,45.25,46.50,45.15,46.47,59381400
31-Mar-08,44.57,44.80,44.35,44.75,51409299
28-Mar-08,44.96,45.04,44.32,44.49,42165801
27-Mar-08,45.22,45.24,44.50,44.57,48698499
26-Mar-08,44.92,44.98,44.35,44.78,44104200
25-Mar-08,44.51,45.22,44.51,45.15,49886799
24-Mar-08,43.42,44.80,43.19,44.47,63378399
20-Mar-08,42.08,42.94,41.55,42.82,81482601
19-Mar-08,44.31,44.59,42.06,42.11,98387100
18-Mar-08,43.47,44.89,43.38,44.81,82137501
17-Mar-08,42.04,42.96,41.58,42.59,5039001
14-Mar-08,45.26,45.37,43.32,43.67,94939599
13-Mar-08,44.39,45.73,44.04,45.27,85187400
12-Mar-08,46.05,46.62,45.56,45.69,55986801
11-Mar-08,45.47,46.59,44.74,46.55,294300
10-Mar-08,44.72,44.72,43.20,43.62,70747101
7-Mar-08,44.60,45.46,44.11,44.40,70881099
6-Mar-08,46.35,46.50,44.96,45.02,57569100
5-Mar-08,46.19,46.82,45.86,46.62,61341699
4-Mar-08,45.96,46.39,44.81,45.66,92122500
3-Mar-08,46.50,47.07,45.95,46.75,85461300
29-Feb-08,47.89,47.90,46.41,46.49,69185601
28-Feb-08,48.44,48.83,48.18,48.42,52191000
27-Feb-08,48.17,49.23,48.06,48.94,59974500
26-Feb-08,47.55,48.72,47.38,48.53,60488601
25-Feb-08,46.94,47.97,46.60,47.90,63015300
22-Feb-08,46.88,47.10,45.83,47.03,58208700
21-Feb-08,47.37,47.47,46.23,46.40,45617100
20-Feb-08,45.94,47.24,45.72,47.06,67391301
19-Feb-08,47.28,47.32,46.40,46.67,60775101
15-Feb-08,45.89,46.10,45.35,46.07,41013801
14-Feb-08,46.76,46.90,45.70,45.74,77649801
13-Feb-08,45.80,46.47,45.29,46.34,80918901
12-Feb-08,45.04,46.09,44.94,45.32,95258901
11-Feb-08,43.90,44.62,43.38,44.60,62730900
8-Feb-08,43.59,44.37,43.43,44.06,63859200
7-Feb-08,43.26,44.57,42.83,44.14,81770901
6-Feb-08,44.46,44.99,43.26,43.40,94405101
5-Feb-08,45.60,45.70,43.69,44.13,82042899
4-Feb-08,46.83,46.95,46.36,46.64,46973001
1-Feb-08,45.82,46.65,45.62,46.49,66303600
31-Jan-08,43.84,45.89,43.66,45.58,91721901
30-Jan-08,44.61,46.31,44.34,44.69,90873300
29-Jan-08,45.39,45.49,44.65,45.28,42915900
28-Jan-08,44.32,45.51,42.29,45.51,61985901
25-Jan-08,45.95,46.23,44.23,44.41,65774799
24-Jan-08,44.16,45.40,44.06,45.09,90598800
