Date,Open,High,Low,Close,Volume
18-Nov-14,41.06,41.25,41.05,41.22,23114458
17-Nov-14,41.09,41.09,40.92,41.00,38237751
14-Nov-14,41.03,41.46,41.00,41.44,47386412
13-Nov-14,41.39,41.40,40.99,41.10,30709793
12-Nov-14,41.31,41.50,41.17,41.21,25122319
11-Nov-14,41.20,41.36,41.14,41.29,28394984
10-Nov-14,41.66,41.69,41.30,41.33,45891646
7-Nov-14,41.08,41.28,41.01,41.22,42327528
6-Nov-14,41.35,41.41,40.94,40.96,52054353
5-Nov-14,41.50,41.54,41.23,41.47,48726561
4-Nov-14,41.85,41.88,41.55,41.84,41428198
3-Nov-14,42.01,42.04,41.70,41.80,59606582
31-Oct-14,42.16,42.33,42.00,42.15,108786282
30-Oct-14,41.66,42.14,41.66,41.97,54208151
29-Oct-14,41.91,42.02,41.32,41.58,75309238
28-Oct-14,41.19,41.64,41.18,41.52,73891720
27-Oct-14,40.37,40.76,40.28,40.70,44793234
24-Oct-14,40.77,41.22,40.74,41.02,43724663
23-Oct-14,40.84,40.97,40.68,40.73,43661609
22-Oct-14,40.96,41.04,40.60,40.74,50711590
21-Oct-14,40.76,41.17,40.73,41.01,49877254
20-Oct-14,40.68,40.89,40.59,40.84,50854731
17-Oct-14,40.71,41.00,40.48,40.72,73616371
16-Oct-14,39.70,40.72,39.68,40.27,101076490
15-Oct-14,40.60,40.81,39.78,40.64,122284529
14-Oct-14,41.06,41.42,40.84,41.16,71636692
13-Oct-14,41.20,41.50,40.90,40.92,89760992
10-Oct-14,40.96,41.10,40.47,40.51,104177298
9-Oct-14,41.90,41.95,41.27,41.41,82942796
8-Oct-14,41.53,42.15,41.06,42.07,90903024
7-Oct-14,41.76,41.86,41.45,41.45,41767475
6-Oct-14,42.12,42.16,41.81,41.82,84259616
3-Oct-14,41.08,41.39,40.89,41.28,61010963
2-Oct-14,40.86,41.22,40.37,40.93,92886394
1-Oct-14,41.34,41.38,40.70,40.71,109935982
30-Sep-14,41.45,41.64,41.36,41.56,87704450
29-Sep-14,41.37,41.77,41.36,41.56,74209568
26-Sep-14,42.27,42.57,42.21,42.42,54551815
25-Sep-14,42.51,42.53,42.12,42.23,68810746
24-Sep-14,42.87,43.26,42.66,43.17,55218861
23-Sep-14,42.70,42.90,42.50,42.56,82990709
22-Sep-14,43.08,43.13,42.61,42.80,83094024
19-Sep-14,43.92,43.97,43.35,43.46,88033081
18-Sep-14,43.87,43.95,43.73,43.79,50513912
17-Sep-14,44.20,44.27,43.72,43.73,76121704
16-Sep-14,43.53,44.44,43.50,44.14,97318581
