Date,Open,High,Low,Close,Volume,Index
13-Apr-06,59.13,59.6,58.87,59.5,2690200,1
17-Apr-06,60.38,61.3,60.2,61.09,5809000,2
18-Apr-06,61.28,61.92,61.06,61.85,4699300,3
19-Apr-06,61.96,63.95,61.9,63.75,9450500,4
20-Apr-06,63.39,63.45,60.52,60.96,12696900,5
21-Apr-06,62.46,63.28,61.78,63.2,7026000,6
24-Apr-06,62.32,62.53,61.6,61.65,6898700,7
25-Apr-06,62.86,63.18,62.18,62.78,5331100,8
26-Apr-06,63.04,63.79,63.04,63.65,5385100,9
27-Apr-06,62.84,69.26,62.46,62.96,5824600,10
28-Apr-06,63.9,65.27,63.83,65.09,8013400,11
1-May-06,65.68,65.83,64.99,65.16,7210100,12
2-May-06,65.56,66.57,65.56,66.55,5943100,13
3-May-06,67.14,67.14,65.33,66.47,11117300,14
4-May-06,66.76,67.67,66.22,67.48,11092200,15
5-May-06,67.5,68.01,67.06,67.99,8653700,16
8-May-06,67.2,67.61,66.75,67.56,6044800,17
9-May-06,68.54,69.72,68.45,69.68,11203700,18
10-May-06,69.27,70.49,69.27,70.38,9631200,19
11-May-06,71.98,72.15,71,71.03,16537000,20
12-May-06,71.86,72.26,70.2,71.12,18978400,21
15-May-06,68.68,69.3,67.25,67.41,16291300,22
16-May-06,68.32,68.86,67.87,68.61,11814000,23
17-May-06,69.51,70.17,68.07,68.15,14331400,24
18-May-06,68.69,69.1,67.36,67.46,12049300,25
19-May-06,65.76,67.79,64.7,65.58,17232700,26
22-May-06,64.42,65.42,63.8,65.3,10804800,27
23-May-06,65.96,67.16,65.91,66.38,9627300,28
24-May-06,64.83,65.16,63.22,64.06,10434500,29
25-May-06,64.12,64.76,63.76,64.7,5884200,30
26-May-06,65.01,65.1,63.75,65.1,5011400,31
30-May-06,65.2,66.24,65,65.11,7997300,32
31-May-06,65.53,65.59,63.58,64.23,7419000,33
1-Jun-06,62.12,62.97,61.8,62.56,10665500,34
2-Jun-06,63.1,63.59,62.53,63.5,5835300,35
5-Jun-06,63.82,64.19,63.15,63.29,5565500,36
6-Jun-06,62.58,62.67,62.16,62.55,5813800,37
7-Jun-06,61.55,62.85,61.35,62.28,9754900,38
8-Jun-06,61.5,61.53,60.43,60.91,13579200,39
9-Jun-06,61.17,61.38,59.71,60.45,6738300,40
12-Jun-06,60.78,60.84,59.98,60.03,3905200,41
13-Jun-06,58.1,58.65,55.81,55.92,24780900,42
14-Jun-06,56.65,56.91,55.05,55.62,11550500,43
15-Jun-06,57.12,57.62,56.33,57.32,11024800,44
16-Jun-06,57.3,57.93,56.43,57.68,6371400,45
19-Jun-06,56.85,57.25,56.15,56.36,5463500,46
20-Jun-06,56.64,57.48,56.16,57.3,9313400,47
21-Jun-06,57.13,58.77,56.62,58.33,5975000,48
22-Jun-06,58.17,58.61,57.66,57.73,4535000,49
23-Jun-06,57.27,58.3,57.27,57.99,5112300,50
26-Jun-06,58.25,58.33,57.42,58.28,3299100,51
27-Jun-06,58.71,59.26,57.68,57.68,6310400,52
28-Jun-06,58.15,58.19,57.35,57.54,2670100,53
29-Jun-06,58,59.78,58,59.52,10429300,54
30-Jun-06,60.87,61.35,60.68,61.23,7274300,55
3-Jul-06,61.96,62.37,61.88,62.18,2887400,56
5-Jul-06,62.48,62.63,61.44,62.5,7614600,57
6-Jul-06,62.46,63.2,62.05,63.02,5294200,58
7-Jul-06,62.83,63.05,62.46,62.63,4083800,59
10-Jul-06,62.13,62.5,61.99,62.02,3338700,60
11-Jul-06,62.83,63.98,62.7,63.81,5251600,61
12-Jul-06,64.65,65.19,63.01,64.92,9053200,62
