Date,Open,High,Low,Close,Volume,Index
22-Nov-99,0,13.62,13.12,13.47,3925600,1
23-Nov-99,0,13.5,12.88,13.41,4827200,2
24-Nov-99,0,14,13.53,13.59,6331200,3
26-Nov-99,0,14.06,13.38,13.84,3760800,4
29-Nov-99,0,15.12,14.16,14.62,17482600,5
30-Nov-99,0,14.88,13.94,14.12,7103200,6
1-Dec-99,0,14.16,13.53,13.97,5376400,7
2-Dec-99,0,14.72,13.88,14.62,6732000,8
3-Dec-99,0,15.84,14.31,15.5,16547600,9
6-Dec-99,0,15.75,15.34,15.72,11096400,10
7-Dec-99,0,15.91,14.84,15.88,8355000,11
8-Dec-99,0,15.97,15,15,7022800,12
9-Dec-99,0,15.5,14.41,14.69,7117000,13
10-Dec-99,0,14.81,14.06,14.62,6185600,14
13-Dec-99,0,14.97,14.09,14.75,3922200,15
14-Dec-99,0,14.97,13.78,13.81,5439200,16
15-Dec-99,0,14.28,13.25,13.56,6407800,17
16-Dec-99,0,14.75,13.81,14.69,5877600,18
17-Dec-99,0,15,14.25,14.41,4970600,19
20-Dec-99,0,14.94,14.09,14.66,4741800,20
21-Dec-99,0,15.31,14.62,15.03,4814200,21
22-Dec-99,0,15.03,14.34,14.41,2426600,22
23-Dec-99,0,14.66,14.19,14.31,2466000,23
27-Dec-99,0,14.5,14,14.47,2471400,24
28-Dec-99,0,14.47,14.19,14.38,1550600,25
29-Dec-99,0,14.41,14,14.22,1035200,26
30-Dec-99,0,14.38,13.91,14.22,1784800,27
31-Dec-99,0,14.47,14,14.47,1765600,28
3-Jan-00,14.97,15.59,14.69,15.5,7843200,29
4-Jan-00,15.12,15.5,14.59,14.62,6216600,30
5-Jan-00,14.53,15.06,14,15,8184600,31
6-Jan-00,15.5,15.97,15.25,15.25,11477000,32
7-Jan-00,15.41,16.41,15.38,16.34,8542400,33
10-Jan-00,16.75,17.75,16.69,17.69,12915800,34
11-Jan-00,17.5,17.97,16.97,17.03,6679000,35
12-Jan-00,17,18.38,16.81,18.12,8818600,36
13-Jan-00,18.38,18.5,17.56,18.19,7527000,37
14-Jan-00,18.56,20.28,18.5,20.19,14997800,38
18-Jan-00,20,20.62,19.34,19.44,10864400,39
19-Jan-00,19.88,21.88,19.41,20.5,8929200,40
20-Jan-00,21.75,22.56,19,19,28822600,41
21-Jan-00,19.56,19.56,18.06,18.31,11707600,42
24-Jan-00,18.62,19.22,16.91,17.06,10267400,43
25-Jan-00,17.28,19.81,17.25,19.75,10784800,44
26-Jan-00,18.81,19.12,18.28,18.56,7577200,45
27-Jan-00,19,19.5,18.44,18.47,6167800,46
28-Jan-00,18.59,18.88,17.19,17.62,6866800,47
31-Jan-00,17.62,18.12,17.22,18,4279200,48
1-Feb-00,18.25,18.38,17.5,18.28,5111200,49
2-Feb-00,18.16,18.25,17.78,18.03,4076200,50
3-Feb-00,18.38,19.69,18.16,19.5,9523400,51
4-Feb-00,19.5,20.06,19.19,19.28,7109200,52
7-Feb-00,19.28,20.44,19.06,20.16,6053400,53
8-Feb-00,20.5,20.94,19.59,20.69,8580000,54
9-Feb-00,20.69,21.19,20.25,21.03,7766600,55
10-Feb-00,21.03,21.38,20.66,21.25,6373800,56
11-Feb-00,21.38,22.5,20.91,22.5,14912000,57
14-Feb-00,22.41,22.75,21.06,21.62,8726200,58
15-Feb-00,21.75,22.38,21.19,21.94,8660800,59
16-Feb-00,21.88,22.59,21.69,21.88,7579800,60
17-Feb-00,22.09,22.09,21.06,21.06,5384400,61
18-Feb-00,21.19,21.81,20,20.12,6400600,62
22-Feb-00,20.12,21.22,19.81,20.91,5412600,63
23-Feb-00,20.84,20.97,20.53,20.53,2920400,64
24-Feb-00,20.75,21.47,20.34,21.28,4071400,65
25-Feb-00,20.78,21.19,19.62,20.69,10797400,66
28-Feb-00,20.16,20.16,18.81,18.88,8838400,67
29-Feb-00,19.69,20.12,19.5,19.56,8292400,68
1-Mar-00,0,20.69,19.84,20.22,6551200,69
2-Mar-00,0,20.22,19.25,19.62,4530600,70
3-Mar-00,0,21,19.88,20.95,6902400,71
6-Mar-00,0,24.12,23,23.75,22447600,72
7-Mar-00,24.5,30,23.75,26.88,25743000,73
8-Mar-00,27.75,27.75,24,26.97,13440600,74
9-Mar-00,26.34,28.75,25.25,28.69,13374800,75
10-Mar-00,26.56,27.94,25,26.5,16810400,76
13-Mar-00,24.16,26.62,24.12,26.62,7735600,77
14-Mar-00,26,26.88,24.28,24.31,5926400,78
15-Mar-00,24.5,25.22,23.75,24.16,8318600,79
16-Mar-00,24.81,25,23.16,24.59,6421000,80
17-Mar-00,24.41,25.34,24.06,25.06,5240200,81
20-Mar-00,25.47,26.69,25.38,26.5,7219400,82
21-Mar-00,27.06,27.88,26.31,27.41,9442000,83
22-Mar-00,27.75,29.44,27.62,28.28,9576800,84
23-Mar-00,28.28,29,27.5,27.69,5638400,85
24-Mar-00,26.75,28.44,26.59,27,6600000,86
27-Mar-00,27,27.97,26.91,27.09,4433400,87
28-Mar-00,27.12,28.44,26.75,27.56,5264400,88
29-Mar-00,28,28.12,25.94,27.59,7621200,89
30-Mar-00,26.44,30,26.38,30,15605400,90
31-Mar-00,29.88,30.19,28.25,28.53,10192400,91
3-Apr-00,29.62,30.94,29,30.31,9466200,92
4-Apr-00,30.62,32.25,25.5,30.56,17659200,93
5-Apr-00,32,34.53,30.91,34.25,20985200,94
6-Apr-00,36.38,37.12,34.62,35.53,18068200,95
7-Apr-00,35.44,37.5,35,37.06,15174600,96
10-Apr-00,38.38,39.59,36.12,37.12,16257000,97
