Date,Open,High,Low,Close,Volume,Index
11-Apr-03,11.1,11.1,11.06,11.06,108999,1
14-Apr-03,11.12,11.2,11.12,11.2,93699,2
15-Apr-03,11.27,11.37,11.27,11.33,421902,3
16-Apr-03,11.45,11.51,11.45,11.46,9000,4
17-Apr-03,11.53,11.55,11.51,11.55,17100,5
21-Apr-03,11.56,11.56,11.53,11.54,72999,6
22-Apr-03,11.54,11.58,11.5,11.58,19800,7
23-Apr-03,11.59,11.63,11.55,11.63,31500,8
24-Apr-03,11.54,11.54,11.38,11.4,90099,9
25-Apr-03,11.25,11.25,11.2,11.22,102699,10
28-Apr-03,11.25,11.4,11.24,11.4,91899,11
29-Apr-03,11.58,11.73,11.58,11.73,76599,12
30-Apr-03,11.7,11.71,11.66,11.69,229104,13
1-May-03,11.66,11.71,11.64,11.65,235404,14
2-May-03,11.69,11.83,11.69,11.83,67599,15
5-May-03,11.87,11.96,11.87,11.95,47700,16
6-May-03,11.95,12.03,11.94,12.01,109899,17
7-May-03,11.96,11.99,11.95,11.99,313803,18
8-May-03,11.92,11.93,11.88,11.89,418302,19
9-May-03,11.9,12.04,11.9,12.03,63099,20
12-May-03,12.08,12.19,12.08,12.19,754101,21
13-May-03,12.15,12.15,12.09,12.13,276903,22
14-May-03,12.13,12.13,12.04,12.06,206604,23
15-May-03,12.09,12.09,12.06,12.09,338103,24
16-May-03,12.1,12.14,12.06,12.1,257103,25
19-May-03,12.02,12.02,11.77,11.81,128799,26
20-May-03,11.84,11.88,11.8,11.87,53199,27
21-May-03,11.85,11.88,11.79,11.88,45900,28
22-May-03,11.88,11.99,11.88,11.99,84699,29
23-May-03,12.07,12.14,12.07,12.11,74799,30
27-May-03,12.14,12.55,12.14,12.54,865800,31
28-May-03,12.54,12.61,12.54,12.6,396702,32
29-May-03,12.59,12.64,12.56,12.61,307503,33
30-May-03,12.64,12.76,12.62,12.76,368802,34
2-Jun-03,12.8,13,12.8,12.85,588897,35
3-Jun-03,12.86,12.86,12.65,12.75,245304,36
4-Jun-03,12.75,12.92,12.75,12.91,241704,37
5-Jun-03,12.97,12.97,12.85,12.93,510498,38
6-Jun-03,13,13.18,13,13.05,609597,39
9-Jun-03,13.07,13.07,12.9,12.94,209304,40
10-Jun-03,12.95,13.07,12.95,13.07,233604,41
11-Jun-03,13.07,13.09,12.97,13.08,294903,42
12-Jun-03,13.11,13.18,13.1,13.18,403002,43
13-Jun-03,13.15,13.19,13.14,13.18,696096,44
16-Jun-03,13.22,13.32,13.2,13.32,164304,45
17-Jun-03,13.46,13.61,13.46,13.6,353502,46
18-Jun-03,13.56,13.62,13.52,13.55,172404,47
19-Jun-03,13.66,13.68,13.53,13.55,226404,48
20-Jun-03,13.58,13.61,13.51,13.55,301203,49
23-Jun-03,13.5,13.5,13.21,13.21,332703,50
24-Jun-03,13.16,13.16,13.04,13.11,188604,51
25-Jun-03,13.15,13.3,13.15,13.22,1047699,52
26-Jun-03,13.29,13.37,13.26,13.37,211104,53
27-Jun-03,13.38,13.39,13.27,13.3,374202,54
30-Jun-03,13.34,13.34,13.27,13.3,280503,55
1-Jul-03,13.35,13.45,13.31,13.44,430002,56
2-Jul-03,13.59,13.77,13.59,13.76,1131804,57
3-Jul-03,13.79,13.8,13.77,13.79,110799,58
7-Jul-03,13.94,14.14,13.94,14.14,570897,59
8-Jul-03,14.16,14.2,14.11,14.18,348003,60
9-Jul-03,14.17,14.17,14.08,14.14,473598,61
10-Jul-03,14.07,14.07,13.85,13.89,1606896,62
11-Jul-03,13.89,14.01,13.89,14.01,212904,63
14-Jul-03,14.17,14.32,14.17,14.26,684396,64
15-Jul-03,14.33,14.33,14.08,14.08,2171502,65
16-Jul-03,14.05,14.13,14.01,14.09,829701,66
17-Jul-03,14,14,13.72,13.72,360702,67
18-Jul-03,13.74,13.9,13.74,13.9,205704,68
21-Jul-03,13.85,13.85,13.7,13.72,2143503,69
22-Jul-03,13.88,13.9,13.74,13.88,1024299,70
23-Jul-03,13.84,13.84,13.71,13.79,906300,71
24-Jul-03,13.89,13.98,13.86,13.86,751401,72
25-Jul-03,13.96,14.09,13.94,14.09,212904,73
28-Jul-03,14.17,14.21,14.13,14.17,1042299,74
29-Jul-03,14.19,14.19,14.07,14.09,585297,75
30-Jul-03,14.05,14.06,13.96,13.98,56799,76
31-Jul-03,14.01,14.09,14.01,14.05,339903,77
1-Aug-03,14.08,14.11,14.06,14.08,441702,78
4-Aug-03,14.1,14.11,13.97,14.02,394902,79
5-Aug-03,14.02,14.02,13.87,13.87,291303,80
6-Aug-03,13.86,13.88,13.77,13.81,372402,81
7-Aug-03,13.91,13.95,13.87,13.91,289503,82
8-Aug-03,14.02,14.03,13.97,14,153504,83
11-Aug-03,14.08,14.11,14.03,14.06,666396,84
12-Aug-03,14.09,14.13,14.07,14.12,728496,85
13-Aug-03,14.29,14.36,14.22,14.32,723096,86
14-Aug-03,14.32,14.51,14.32,14.5,404802,87
15-Aug-03,14.36,14.36,14.36,14.36,48600,88
18-Aug-03,14.49,14.67,14.48,14.67,1102104,89
19-Aug-03,14.75,14.75,14.65,14.74,454698,90
20-Aug-03,14.7,14.74,14.65,14.74,1127304,91
21-Aug-03,14.86,15.02,14.86,15.01,1085904,92
22-Aug-03,15.19,15.28,15.04,15.09,1009899,93
25-Aug-03,15.07,15.07,14.95,14.97,392202,94
26-Aug-03,14.91,14.91,14.7,14.79,1188603,95
27-Aug-03,14.81,14.96,14.76,14.96,630297,96
28-Aug-03,15.01,15.06,14.92,15.06,442602,97
29-Aug-03,15.16,15.2,15.16,15.17,418302,98
2-Sep-03,15.3,15.4,15.28,15.4,1474497,99
3-Sep-03,15.61,15.61,15.51,15.52,889200,100
4-Sep-03,15.53,15.6,15.51,15.57,458298,101
5-Sep-03,15.6,15.6,15.53,15.56,533898,102
8-Sep-03,15.71,15.87,15.71,15.85,660996,103
9-Sep-03,15.89,15.89,15.56,15.58,388602,104
10-Sep-03,15.56,15.56,15.24,15.32,570897,105
11-Sep-03,15.33,15.45,15.3,15.3,1099404,106
12-Sep-03,15.35,15.41,15.25,15.41,950499,107
15-Sep-03,15.43,15.43,15.14,15.18,810801,108
16-Sep-03,15.34,15.5,15.3,15.5,1991304,109
17-Sep-03,15.52,15.54,15.42,15.43,984699,110
18-Sep-03,15.47,15.64,15.41,15.61,770301,111
19-Sep-03,15.63,15.63,15.5,15.54,467298,112
