Date,Open,High,Low,Close,Volume,Adj Close
1996-10-25,48.25,48.50,46.50,48.25,474900,42.05
1996-10-24,49.25,49.25,48.50,48.50,319000,42.27
1996-10-23,49.25,49.50,49.00,49.38,295500,43.03
1996-10-22,49.62,49.75,49.38,49.50,190600,43.14
1996-10-21,49.50,50.00,49.38,49.62,209500,43.25
1996-10-18,49.00,49.62,48.88,49.25,171800,42.92
1996-10-17,48.62,49.12,48.25,48.88,396900,42.59
1996-10-16,49.00,49.25,48.38,48.62,499700,42.38
1996-10-15,49.25,49.25,48.75,48.75,234300,42.48
1996-10-14,48.88,49.38,48.88,49.00,253400,42.70
1996-10-11,49.00,49.25,48.50,49.00,268900,42.70
1996-10-10,48.50,48.88,48.00,48.88,270300,42.59
1996-10-09,50.12,50.25,48.62,48.75,399400,42.48
1996-10-08,50.00,50.50,49.75,50.25,420800,43.79
1996-10-07,50.88,50.88,50.38,50.38,482500,43.90
1996-10-04,50.12,50.88,50.12,50.88,184300,44.34
1996-10-03,50.12,50.25,50.00,50.12,411300,43.68
1996-10-02,49.75,50.50,49.75,50.25,175700,43.79
1996-10-01,50.00,50.12,49.75,49.88,416300,43.46
1996-09-30,49.75,50.38,49.62,50.12,381600,43.68
1996-09-27,50.25,50.25,49.25,49.62,382200,43.25
1996-09-26,50.75,50.75,49.50,49.75,417900,43.36
1996-09-25,51.75,51.75,50.88,51.00,191100,44.45
1996-09-24,51.00,51.50,51.00,51.50,262900,44.88
1996-09-23,50.75,51.00,50.50,50.88,399000,44.34
1996-09-20,51.50,51.50,51.00,51.00,489100,44.45
1996-09-19,50.88,51.06,50.75,51.00,185400,44.45
1996-09-18,50.75,50.88,50.12,50.75,417700,44.23
1996-09-17,49.88,51.12,49.25,51.00,434500,44.45
1996-09-16,50.00,50.38,49.88,49.88,226600,43.46
1996-09-13,50.50,50.50,49.75,49.88,340900,43.46
1996-09-12,49.88,50.38,49.62,50.38,257000,43.90
1996-09-11,49.62,49.94,49.50,49.75,301200,43.36
1996-09-10,50.38,50.38,49.50,49.62,683000,43.25
1996-09-09,50.88,50.88,50.25,50.38,259400,43.90
1996-09-06,50.62,51.00,50.25,50.62,629500,44.12
1996-09-05,50.50,51.12,50.38,50.50,420600,44.01
1996-09-04,50.12,50.75,50.00,50.62,378400,44.12
1996-09-03,48.88,50.50,48.88,49.88,260800,43.46
1996-08-30,50.75,50.75,49.75,49.75,236100,43.36
1996-08-29,50.88,51.00,50.62,50.75,459900,44.23
1996-08-28,50.88,51.12,50.88,51.00,231800,44.45
1996-08-27,51.00,51.12,50.62,50.88,167300,44.34
1996-08-26,50.75,51.12,50.44,51.00,270000,44.45
1996-08-23,51.00,51.12,50.62,51.00,324700,44.45
1996-08-22,50.62,51.12,50.50,51.12,459700,44.55
1996-08-21,51.25,51.25,50.50,50.88,276400,43.94
1996-08-20,51.62,51.75,51.38,51.50,240000,44.48
1996-08-19,51.75,51.88,51.62,51.62,208600,44.59
1996-08-16,51.12,51.75,51.00,51.62,144600,44.59
1996-08-15,51.00,51.25,50.88,51.12,159500,44.16
1996-08-14,51.12,51.38,50.75,51.12,189800,44.16
1996-08-13,51.00,51.25,50.75,51.12,177300,44.16
1996-08-12,50.62,51.25,50.50,51.00,181100,44.05
1996-08-09,50.12,51.25,50.00,51.00,128700,44.05
1996-08-08,50.75,51.00,49.88,49.88,251000,43.08
1996-08-07,50.62,50.75,50.12,50.25,304500,43.40
1996-08-06,50.50,50.88,50.25,50.62,250800,43.73
1996-08-05,49.75,50.88,49.75,50.50,483800,43.62
1996-08-02,49.88,50.00,49.62,49.62,184900,42.86
1996-08-01,49.38,50.12,49.25,49.38,400900,42.65
1996-07-31,49.25,49.38,48.75,49.12,277600,42.43
1996-07-30,48.00,49.50,47.75,49.25,375000,42.54
1996-07-29,47.50,47.88,47.25,47.75,314400,41.24
1996-07-26,46.88,48.00,46.62,47.88,328200,41.35
1996-07-25,47.25,48.00,46.50,47.12,409400,40.71
1996-07-24,46.62,47.00,45.62,46.38,359200,40.06
1996-07-23,47.75,48.00,46.88,46.88,576600,40.49
1996-07-22,48.00,48.62,47.75,48.00,284100,41.46
1996-07-19,48.12,48.50,47.75,48.12,306800,41.57
1996-07-18,47.00,48.12,46.25,48.12,288000,41.57
1996-07-17,47.00,47.88,46.38,46.88,325800,40.49
1996-07-16,47.38,47.50,45.88,46.12,523300,39.84
1996-07-15,49.12,49.12,47.38,47.38,225200,40.92
1996-07-12,49.25,50.12,48.88,48.88,411600,42.22
1996-07-11,49.75,49.75,48.25,49.00,270800,42.32
1996-07-10,49.75,49.88,48.25,49.62,569100,42.86
1996-07-09,49.50,50.12,49.38,49.62,237000,42.86
1996-07-08,49.38,49.88,49.12,49.38,377900,42.65
1996-07-05,49.88,50.12,49.62,49.88,219400,43.08
1996-07-03,50.50,50.62,50.25,50.38,438100,43.51
1996-07-02,51.12,51.12,50.38,50.50,426500,43.62
1996-07-01,51.38,51.50,51.00,51.12,412900,44.16
1996-06-28,51.38,51.75,50.88,51.12,220700,44.16
1996-06-27,51.62,52.12,51.00,51.12,515300,44.16
1996-06-26,50.00,51.25,49.62,51.25,867700,44.27
1996-06-25,51.88,52.38,50.50,50.50,1004300,43.62
1996-06-24,53.00,53.50,51.88,52.00,638600,44.92
1996-06-21,53.62,53.75,52.62,53.62,942500,46.32
1996-06-20,55.12,55.25,53.25,53.88,481300,46.54
1996-06-19,54.38,55.25,54.00,54.50,513400,47.08
