Date,Open,High,Low,Close,Volume,Adj Close
1996-12-20,30.38,30.38,28.88,28.88,1741500,23.51
1996-12-19,29.62,30.12,29.62,30.00,1180400,24.43
1996-12-18,29.75,29.88,29.62,29.62,692400,24.12
1996-12-17,29.62,30.12,29.38,29.88,1722300,24.33
1996-12-16,28.62,29.62,28.50,29.50,1349900,24.02
1996-12-13,28.88,29.12,28.25,28.50,795400,23.21
1996-12-12,28.62,29.25,28.50,29.12,1726800,23.72
1996-12-11,29.88,29.88,28.12,28.38,1722600,23.11
1996-12-10,29.50,30.50,29.38,30.38,792300,24.73
1996-12-09,29.88,29.88,29.38,29.38,758700,23.92
1996-12-06,29.50,29.75,29.38,29.50,1296900,24.02
1996-12-05,28.88,29.88,28.75,29.75,2142200,24.23
1996-12-04,28.50,29.62,28.38,29.25,2221700,23.82
1996-12-03,28.38,28.62,27.88,28.12,2416400,22.90
1996-12-02,29.38,29.62,29.12,29.25,2192800,23.82
1996-11-29,30.00,30.38,29.88,30.00,2257800,24.43
1996-11-27,28.88,29.88,28.88,29.50,4425600,24.02
1996-11-26,27.25,30.25,27.12,28.88,4426300,23.46
1996-11-25,27.25,27.50,27.12,27.25,991400,22.14
1996-11-22,27.38,27.75,27.25,27.50,2734800,22.34
1996-11-21,28.38,28.38,27.25,27.25,1589300,22.14
1996-11-20,27.88,28.62,27.75,28.38,1495300,23.05
1996-11-19,27.50,27.88,27.25,27.38,1084900,22.24
1996-11-18,27.62,28.00,27.62,27.62,645600,22.44
1996-11-15,28.00,28.25,27.75,28.12,1646200,22.85
1996-11-14,28.25,28.50,28.00,28.25,2968100,22.95
1996-11-13,28.25,29.00,28.25,28.38,3510800,23.05
1996-11-12,27.00,28.50,27.00,28.25,3059800,22.95
1996-11-11,26.75,27.12,26.38,27.12,1477100,22.03
1996-11-08,25.88,26.75,25.75,26.62,1809100,21.63
1996-11-07,25.75,26.50,25.62,26.25,2662900,21.32
1996-11-06,25.75,25.75,25.38,25.50,1217000,20.71
1996-11-05,26.38,26.38,25.75,25.88,1672900,21.02
1996-11-04,26.25,26.38,26.00,26.25,1061100,21.32
1996-11-01,26.00,26.38,26.00,26.25,974700,21.32
1996-10-31,26.25,26.50,26.00,26.12,1090300,21.22
1996-10-30,26.00,26.50,25.94,26.50,1137600,21.53
1996-10-29,26.50,26.62,26.12,26.12,1339600,21.22
1996-10-28,26.75,27.12,26.62,27.00,956900,21.93
1996-10-25,26.75,27.12,26.62,26.88,874800,21.83
1996-10-24,26.62,26.88,26.62,26.88,762200,21.83
1996-10-23,26.75,27.00,26.62,26.88,1184900,21.83
1996-10-22,26.62,27.12,26.62,26.88,1603400,21.83
1996-10-21,26.00,26.50,26.00,26.50,1078600,21.53
1996-10-18,25.88,26.00,25.75,25.75,877200,20.92
1996-10-17,26.12,26.25,26.00,26.00,526300,21.12
1996-10-16,26.50,26.75,26.25,26.38,833300,21.43
1996-10-15,26.00,26.62,26.00,26.50,593300,21.53
1996-10-14,26.62,26.75,26.12,26.12,426500,21.22
1996-10-11,26.62,26.75,26.38,26.62,908900,21.63
1996-10-10,26.75,27.12,26.62,26.88,1650500,21.83
1996-10-09,26.62,26.88,26.50,26.62,851200,21.63
