Date,Open,High,Low,Close,Volume
20-Oct-95,0.00,11.55,11.16,11.53,66181600
19-Oct-95,0.00,12.66,12.06,12.59,9719200
18-Oct-95,0.00,12.56,12.12,12.25,10192400
17-Oct-95,0.00,12.38,11.84,12.38,9570800
16-Oct-95,0.00,12.25,12.00,12.03,8681600
13-Oct-95,0.00,12.16,11.88,12.05,6074800
12-Oct-95,0.00,11.88,11.69,11.88,3710000
11-Oct-95,0.00,11.91,11.66,11.78,9752800
10-Oct-95,0.00,11.69,11.38,11.69,12125200
9-Oct-95,0.00,12.19,11.72,11.75,5708400
6-Oct-95,0.00,12.44,12.16,12.23,5286400
5-Oct-95,0.00,12.41,12.16,12.31,6958400
4-Oct-95,0.00,12.50,11.81,12.25,11543600
3-Oct-95,0.00,12.44,11.75,11.88,11354400
2-Oct-95,0.00,12.62,12.16,12.25,5365200
29-Sep-95,0.00,12.72,12.47,12.47,4108400
28-Sep-95,0.00,12.62,12.25,12.62,5902800
27-Sep-95,0.00,12.56,12.19,12.41,5947600
26-Sep-95,0.00,12.81,12.53,12.59,7434800
25-Sep-95,0.00,12.59,12.25,12.50,3885600
22-Sep-95,0.00,12.56,12.16,12.56,6005200
21-Sep-95,0.00,12.53,12.19,12.34,8354000
20-Sep-95,0.00,12.59,12.41,12.48,7237600
19-Sep-95,0.00,12.42,11.91,12.25,10520800
18-Sep-95,0.00,12.41,11.88,11.95,13762400
15-Sep-95,0.00,12.81,12.44,12.47,11142800
14-Sep-95,0.00,12.91,12.62,12.72,10539600
13-Sep-95,0.00,13.00,12.81,12.84,5516800
12-Sep-95,0.00,13.16,12.88,12.95,8026400
11-Sep-95,0.00,13.03,12.50,13.00,14652800
8-Sep-95,0.00,12.56,12.12,12.48,9118400
7-Sep-95,0.00,12.38,12.12,12.31,4104400
6-Sep-95,0.00,12.22,12.03,12.06,5690000
5-Sep-95,0.00,12.28,11.81,12.22,6008800
1-Sep-95,0.00,12.09,11.78,11.78,3158800
31-Aug-95,0.00,12.06,11.75,11.97,6155200
30-Aug-95,0.00,11.75,11.25,11.69,7397200
29-Aug-95,0.00,11.75,11.12,11.75,13539200
28-Aug-95,0.00,11.66,11.19,11.19,6160000
25-Aug-95,0.00,11.66,11.53,11.62,6851200
24-Aug-95,0.00,11.94,11.50,11.59,7441600
23-Aug-95,0.00,12.06,11.66,11.88,8132400
22-Aug-95,0.00,12.31,11.84,12.06,8190000
21-Aug-95,0.00,12.34,12.22,12.25,8026000
18-Aug-95,0.00,12.25,11.81,12.16,10633200
17-Aug-95,0.00,11.97,11.62,11.88,10696800
16-Aug-95,0.00,12.00,11.77,11.91,11210400
15-Aug-95,0.00,12.05,11.59,11.77,22125600
14-Aug-95,0.00,12.11,11.61,11.94,28109600
11-Aug-95,0.00,11.64,11.25,11.64,13658400
10-Aug-95,0.00,11.41,11.26,11.28,15806400
9-Aug-95,0.00,11.38,10.95,11.28,27580000
8-Aug-95,0.00,10.97,10.55,10.95,18503200
7-Aug-95,0.00,10.55,10.44,10.55,5244000
4-Aug-95,0.00,10.55,10.38,10.45,9752800
3-Aug-95,0.00,10.52,10.31,10.47,10492000
2-Aug-95,0.00,10.59,10.30,10.39,16185600
1-Aug-95,0.00,10.64,10.25,10.44,24140000
31-Jul-95,0.00,10.77,10.61,10.64,11362400
28-Jul-95,0.00,10.83,10.58,10.70,18108800
27-Jul-95,0.00,11.16,10.81,10.86,55702400
26-Jul-95,0.00,10.83,9.98,10.53,30506400
25-Jul-95,0.00,10.03,9.83,9.98,10613600
24-Jul-95,0.00,10.05,9.91,9.98,9893600
21-Jul-95,0.00,10.03,9.56,10.00,26735200
20-Jul-95,0.00,10.06,9.64,9.81,24011200
19-Jul-95,0.00,10.20,9.81,9.89,26409600
18-Jul-95,0.00,10.14,10.02,10.05,8747200
17-Jul-95,0.00,10.22,10.06,10.06,10811200
14-Jul-95,0.00,10.16,9.81,10.14,12436000
13-Jul-95,0.00,10.11,9.86,9.89,13032000
12-Jul-95,0.00,9.94,9.81,9.94,7872000
11-Jul-95,0.00,10.03,9.80,9.88,14280000
10-Jul-95,0.00,9.98,9.70,9.81,18322400
7-Jul-95,0.00,10.17,9.94,9.95,17128000
6-Jul-95,0.00,10.08,9.97,10.08,8699200
5-Jul-95,0.00,10.12,9.95,9.96,10466400
3-Jul-95,0.00,10.05,9.95,9.97,3562400
30-Jun-95,0.00,10.06,9.94,10.05,8726400
29-Jun-95,0.00,10.06,9.88,9.94,9114400
28-Jun-95,0.00,10.02,9.67,9.97,14876800
27-Jun-95,0.00,9.89,9.58,9.70,22577600
26-Jun-95,0.00,9.81,9.59,9.61,12985600
23-Jun-95,0.00,9.78,9.58,9.59,8884800
22-Jun-95,0.00,9.83,9.52,9.77,16100000
21-Jun-95,0.00,9.69,9.42,9.52,13233600
20-Jun-95,0.00,9.67,9.42,9.64,13956000
19-Jun-95,0.00,9.48,9.22,9.47,15395200
16-Jun-95,0.00,9.27,9.11,9.23,8820000
15-Jun-95,0.00,9.16,9.06,9.11,4460800
14-Jun-95,0.00,9.17,9.05,9.12,5024800
13-Jun-95,0.00,9.16,9.05,9.14,6297600
12-Jun-95,0.00,9.19,8.94,9.08,13837600
9-Jun-95,0.00,9.06,8.83,8.89,22115200
8-Jun-95,0.00,9.19,9.09,9.12,5395200
7-Jun-95,0.00,9.22,9.12,9.19,10660000
6-Jun-95,0.00,9.41,9.17,9.19,11632000
5-Jun-95,0.00,9.50,9.23,9.44,13433600
2-Jun-95,0.00,9.34,9.02,9.23,13768000
1-Jun-95,0.00,9.12,8.97,9.08,11311200
31-May-95,0.00,9.08,8.70,9.06,12828800
30-May-95,0.00,8.86,8.72,8.77,4052000
26-May-95,0.00,8.84,8.75,8.81,6292800
25-May-95,0.00,8.86,8.70,8.81,9384800
24-May-95,0.00,8.86,8.75,8.77,8869600
23-May-95,0.00,8.92,8.73,8.80,13157600
22-May-95,0.00,9.08,8.91,8.94,7632800
19-May-95,0.00,9.06,8.78,9.05,5841600
18-May-95,0.00,9.05,8.91,8.94,6822400
17-May-95,0.00,9.19,9.02,9.03,5807200
16-May-95,0.00,9.16,9.02,9.11,6018400
15-May-95,0.00,9.06,8.97,9.00,5441600
12-May-95,0.00,9.12,8.97,9.03,10751200
11-May-95,0.00,9.19,9.05,9.06,5408800
10-May-95,0.00,9.19,9.03,9.09,7907200
9-May-95,0.00,9.36,9.17,9.17,10224000
8-May-95,0.00,9.41,9.33,9.36,5436000
5-May-95,0.00,9.39,9.30,9.38,12263200
4-May-95,0.00,9.38,9.16,9.30,19063200
3-May-95,0.00,9.28,8.98,9.25,15732800
2-May-95,0.00,9.00,8.78,8.98,9114400
1-May-95,0.00,9.12,8.84,8.84,6362400
28-Apr-95,0.00,9.20,8.92,9.09,12525600
27-Apr-95,0.00,9.19,8.83,9.16,29005600
26-Apr-95,0.00,9.00,8.48,8.80,22852000
25-Apr-95,0.00,8.53,8.45,8.48,2585600
24-Apr-95,0.00,8.75,8.48,8.53,4359200
21-Apr-95,0.00,8.59,8.45,8.59,9868000
