Date,Open,High,Low,Close,Volume
20-Oct-95,0.00,53.50,52.38,52.38,204300
19-Oct-95,0.00,54.50,53.62,54.00,156000
18-Oct-95,0.00,54.62,53.25,54.62,389800
17-Oct-95,0.00,54.00,52.50,53.75,320300
16-Oct-95,0.00,53.50,52.38,52.38,414800
13-Oct-95,0.00,54.62,53.25,53.38,538500
12-Oct-95,0.00,55.00,53.75,54.25,199300
11-Oct-95,0.00,55.00,53.88,53.88,411600
10-Oct-95,0.00,56.12,54.75,55.00,236500
9-Oct-95,0.00,56.88,55.75,56.50,146300
6-Oct-95,0.00,56.62,55.50,56.38,110300
5-Oct-95,0.00,56.75,55.25,56.25,205400
4-Oct-95,0.00,57.50,55.88,56.00,146800
3-Oct-95,0.00,57.75,57.00,57.38,112600
2-Oct-95,0.00,58.00,57.50,57.75,114400
29-Sep-95,0.00,58.38,57.62,57.75,171600
28-Sep-95,0.00,58.00,56.62,58.00,202200
27-Sep-95,0.00,57.75,56.75,57.38,151100
26-Sep-95,0.00,57.75,57.12,57.25,199500
25-Sep-95,0.00,58.38,57.88,58.12,218300
22-Sep-95,0.00,58.25,57.62,58.12,399100
21-Sep-95,0.00,59.00,58.00,58.25,317300
20-Sep-95,0.00,59.50,58.38,59.50,143700
19-Sep-95,0.00,58.88,58.25,58.62,282300
18-Sep-95,0.00,60.25,58.75,59.25,124300
15-Sep-95,0.00,60.00,59.38,59.50,297800
14-Sep-95,0.00,60.50,59.38,59.75,128700
13-Sep-95,0.00,60.88,59.75,60.62,175900
12-Sep-95,0.00,60.38,59.75,59.88,244100
11-Sep-95,0.00,60.50,59.00,59.88,333500
8-Sep-95,0.00,59.00,57.75,59.00,229100
7-Sep-95,0.00,58.25,57.00,58.12,290800
6-Sep-95,0.00,58.12,57.25,57.50,232800
5-Sep-95,0.00,57.62,55.38,57.62,298900
1-Sep-95,0.00,55.38,54.38,55.38,92100
31-Aug-95,0.00,55.12,54.50,54.50,186700
30-Aug-95,0.00,55.38,54.88,55.00,225500
29-Aug-95,0.00,55.50,54.88,55.50,101300
28-Aug-95,0.00,55.12,54.75,55.00,171700
25-Aug-95,0.00,55.38,55.00,55.25,242900
24-Aug-95,0.00,55.88,55.00,55.00,266900
23-Aug-95,0.00,55.88,55.62,55.75,162800
22-Aug-95,0.00,56.12,55.25,55.75,143400
21-Aug-95,0.00,56.25,55.38,55.38,272800
18-Aug-95,0.00,55.62,55.12,55.12,159900
17-Aug-95,0.00,55.50,54.62,55.25,525300
16-Aug-95,0.00,56.12,55.25,55.50,395900
15-Aug-95,0.00,56.25,55.38,55.50,134600
14-Aug-95,0.00,56.25,54.88,56.25,169800
11-Aug-95,0.00,55.50,54.38,55.25,163000
10-Aug-95,0.00,56.50,54.50,55.38,625100
9-Aug-95,0.00,57.75,56.75,56.75,67100
8-Aug-95,0.00,58.12,57.50,57.75,175900
7-Aug-95,0.00,58.00,57.25,57.88,88300
4-Aug-95,0.00,57.25,56.38,57.25,151300
3-Aug-95,0.00,56.62,56.25,56.38,194400
2-Aug-95,0.00,57.62,57.12,57.25,213800
1-Aug-95,0.00,57.75,57.12,57.50,189500
31-Jul-95,0.00,57.88,57.38,57.75,110300
28-Jul-95,0.00,58.25,57.50,57.75,92400
27-Jul-95,0.00,58.38,57.62,58.25,153300
26-Jul-95,0.00,58.38,57.38,57.88,313100
25-Jul-95,0.00,57.75,56.88,57.12,260300
24-Jul-95,0.00,56.88,56.25,56.75,167600
21-Jul-95,0.00,56.50,55.50,56.25,250100
20-Jul-95,0.00,56.25,55.38,55.62,276900
19-Jul-95,0.00,57.12,55.62,56.00,309400
18-Jul-95,0.00,57.00,56.38,56.75,329500
17-Jul-95,0.00,56.88,56.62,56.75,165200
14-Jul-95,0.00,57.00,56.50,56.88,178500
13-Jul-95,0.00,57.62,56.75,56.88,220300
12-Jul-95,0.00,57.88,57.38,57.50,188100
11-Jul-95,0.00,58.00,57.50,57.75,169900
10-Jul-95,0.00,58.00,57.62,57.88,330400
7-Jul-95,0.00,58.38,57.12,57.88,602600
6-Jul-95,0.00,56.75,55.62,56.75,312800
5-Jul-95,0.00,56.00,55.75,55.75,403200
3-Jul-95,0.00,56.12,55.00,56.12,110900
30-Jun-95,0.00,55.75,54.50,55.00,377300
29-Jun-95,0.00,54.75,53.38,54.38,228300
28-Jun-95,0.00,54.12,53.25,53.75,372900
27-Jun-95,0.00,55.38,53.75,53.75,431500
26-Jun-95,0.00,55.75,53.88,55.62,377500
23-Jun-95,0.00,54.62,53.00,54.62,288300
22-Jun-95,0.00,53.75,52.75,53.50,1014700
21-Jun-95,0.00,53.62,52.00,53.38,1316600
20-Jun-95,0.00,56.12,54.12,55.25,713100
19-Jun-95,0.00,56.88,55.12,55.12,291000
16-Jun-95,0.00,57.38,56.75,57.00,360700
15-Jun-95,0.00,57.50,56.88,57.25,293700
14-Jun-95,0.00,57.62,57.12,57.38,441200
13-Jun-95,0.00,57.75,57.12,57.38,290400
12-Jun-95,0.00,57.62,56.38,57.62,241400
9-Jun-95,0.00,57.62,56.25,56.25,222800
8-Jun-95,0.00,57.88,57.12,57.88,271000
7-Jun-95,0.00,57.38,56.88,57.25,282400
6-Jun-95,0.00,57.88,57.25,57.62,600000
5-Jun-95,0.00,56.62,56.25,56.62,553700
2-Jun-95,0.00,57.62,56.50,57.00,536900
