Date,Open,High,Low,Close,Volume
27-Dec-11,18.75,18.83,18.74,18.81,600
23-Dec-11,-,-,-,18.67,0
22-Dec-11,18.47,18.47,18.44,18.45,5383
21-Dec-11,18.25,18.44,18.25,18.42,6824
20-Dec-11,17.98,18.26,17.98,18.26,419
19-Dec-11,17.95,18.09,17.70,17.70,1134
16-Dec-11,18.01,18.01,17.89,17.90,3687
15-Dec-11,17.91,17.98,17.82,17.89,7980
14-Dec-11,17.85,17.85,17.69,17.76,25379
13-Dec-11,18.36,18.36,17.99,18.01,33416
12-Dec-11,18.13,18.35,18.13,18.35,4455
9-Dec-11,18.14,18.43,18.02,18.40,12766
8-Dec-11,18.29,18.29,18.00,18.01,1732
7-Dec-11,18.21,18.40,18.06,18.40,5550
6-Dec-11,18.38,18.38,18.26,18.30,6600
5-Dec-11,18.48,18.48,18.36,18.36,1090
2-Dec-11,18.43,18.43,18.22,18.22,893
1-Dec-11,18.13,18.28,18.13,18.15,9576
30-Nov-11,18.05,18.25,18.05,18.25,11904
29-Nov-11,17.67,17.85,17.67,17.68,10150
28-Nov-11,17.43,17.77,17.43,17.68,11200
25-Nov-11,17.16,17.21,17.01,17.01,4500
23-Nov-11,-,-,-,17.12,0
22-Nov-11,17.54,17.73,17.44,17.58,22484
21-Nov-11,17.59,17.69,17.49,17.59,12576
18-Nov-11,18.05,18.05,17.86,17.90,9734
17-Nov-11,18.16,18.16,17.86,17.95,2407
16-Nov-11,18.37,18.41,18.13,18.16,2526
15-Nov-11,18.35,18.57,18.25,18.57,3949
14-Nov-11,18.53,18.55,18.36,18.39,5431
11-Nov-11,18.56,18.58,18.37,18.58,7975
10-Nov-11,18.46,18.46,17.87,18.14,12349
9-Nov-11,18.51,18.51,18.05,18.05,4933
8-Nov-11,18.60,18.72,18.49,18.72,8959
7-Nov-11,18.55,18.55,18.30,18.53,15140
4-Nov-11,18.33,18.53,18.33,18.52,13300
3-Nov-11,18.04,18.46,17.91,18.46,3200
2-Nov-11,18.21,18.28,18.18,18.28,18100
1-Nov-11,17.87,18.09,17.87,17.99,4586
31-Oct-11,18.57,18.71,18.51,18.51,14349
28-Oct-11,18.77,18.90,18.69,18.79,71861
27-Oct-11,18.71,18.98,18.69,18.92,31694
26-Oct-11,18.15,18.15,18.14,18.14,200
25-Oct-11,18.32,18.32,17.95,17.95,5380
24-Oct-11,17.88,18.40,17.88,18.40,25669
21-Oct-11,17.73,17.81,17.63,17.77,20280
20-Oct-11,17.37,17.41,17.08,17.36,3813
19-Oct-11,17.72,17.72,17.39,17.45,5732
18-Oct-11,17.40,17.86,17.17,17.86,1348
17-Oct-11,17.52,17.53,17.44,17.44,1789
14-Oct-11,17.77,17.80,17.61,17.77,2200
13-Oct-11,17.50,17.50,17.44,17.49,1094
12-Oct-11,17.49,17.72,17.49,17.52,4500
11-Oct-11,17.19,17.45,17.16,17.37,19300
10-Oct-11,17.03,17.23,17.03,17.21,16218
7-Oct-11,16.61,16.78,16.53,16.53,4725
6-Oct-11,16.21,16.62,16.21,16.62,3924
5-Oct-11,15.94,16.25,15.94,16.22,19900
4-Oct-11,15.33,15.85,15.22,15.85,41465
3-Oct-11,16.04,16.14,15.53,15.53,13884
