Date,Open,High,Low,Close,Volume
26-Nov-04,52.03,52.27,51.88,51.95,45700
24-Nov-04,51.65,52.15,51.60,52.15,172100
23-Nov-04,51.75,51.82,51.05,51.56,280000
22-Nov-04,51.71,51.77,51.18,51.60,432000
19-Nov-04,52.62,52.62,51.48,51.97,227000
18-Nov-04,52.32,52.92,52.27,52.57,236900
17-Nov-04,51.85,52.75,51.85,52.46,531400
16-Nov-04,51.50,51.73,51.07,51.60,506600
15-Nov-04,50.73,51.70,50.62,51.58,328200
12-Nov-04,50.10,50.72,50.00,50.50,415600
11-Nov-04,50.35,50.48,50.11,50.26,386100
10-Nov-04,50.30,50.38,50.13,50.19,191600
9-Nov-04,50.29,50.53,50.10,50.21,315800
8-Nov-04,50.37,50.56,50.17,50.29,270700
5-Nov-04,50.45,50.59,50.03,50.37,431100
4-Nov-04,49.87,50.24,49.60,50.21,462300
3-Nov-04,50.00,50.22,49.90,50.00,398900
2-Nov-04,49.90,50.05,49.32,49.73,483600
1-Nov-04,49.85,49.92,49.55,49.89,468300
29-Oct-04,49.08,49.83,48.94,49.78,970900
28-Oct-04,49.15,49.15,48.88,49.05,454200
27-Oct-04,48.49,49.20,48.30,49.15,364900
26-Oct-04,47.79,48.68,47.72,48.59,362400
25-Oct-04,47.55,47.95,47.44,47.85,263500
22-Oct-04,47.72,48.21,47.65,47.67,344600
21-Oct-04,47.51,47.67,46.94,47.53,253600
20-Oct-04,47.14,47.40,46.85,47.26,497600
19-Oct-04,47.90,48.04,46.92,46.97,631900
18-Oct-04,48.15,48.20,47.17,47.97,454200
15-Oct-04,48.05,48.24,47.92,48.13,346100
14-Oct-04,48.53,48.53,47.80,47.92,470600
13-Oct-04,48.80,48.81,47.95,48.58,927800
12-Oct-04,50.85,50.85,48.44,48.79,1421000
11-Oct-04,50.80,50.96,50.55,50.93,599700
8-Oct-04,50.33,50.95,50.33,50.66,578600
7-Oct-04,50.89,51.16,50.31,50.58,422000
6-Oct-04,50.60,51.23,50.42,51.16,498000
5-Oct-04,50.62,51.02,50.25,50.73,568900
4-Oct-04,51.70,51.86,50.32,50.61,621800
1-Oct-04,51.05,52.13,50.90,51.70,1192200
30-Sep-04,49.44,51.18,49.32,50.95,1254100
29-Sep-04,48.70,49.44,48.56,49.44,370200
28-Sep-04,49.11,49.12,48.45,48.82,335000
27-Sep-04,48.60,49.37,48.55,49.21,342800
24-Sep-04,48.70,48.75,48.44,48.68,253800
23-Sep-04,49.15,49.21,48.61,48.77,293600
22-Sep-04,49.38,49.60,49.19,49.25,317100
21-Sep-04,48.72,49.81,48.72,49.55,439100
20-Sep-04,48.76,48.92,48.54,48.80,213200
17-Sep-04,49.35,49.53,48.86,48.87,306200
16-Sep-04,48.40,49.12,48.40,49.05,185900
15-Sep-04,48.62,48.75,48.06,48.24,128200
14-Sep-04,48.50,49.20,48.10,48.56,218900
13-Sep-04,48.16,48.68,48.15,48.67,338800
10-Sep-04,48.16,48.29,47.52,48.06,241500
9-Sep-04,48.60,48.82,48.09,48.31,252900
8-Sep-04,49.61,49.61,48.45,48.45,247000
7-Sep-04,48.87,49.66,48.87,49.62,314700
3-Sep-04,48.80,48.92,48.59,48.81,257500
2-Sep-04,48.00,48.85,48.00,48.77,175900
1-Sep-04,47.77,48.00,47.63,48.00,202600
31-Aug-04,47.42,47.83,47.20,47.67,209600
30-Aug-04,47.62,47.79,47.21,47.21,147600
27-Aug-04,47.85,47.85,47.30,47.51,109100
26-Aug-04,47.84,48.07,47.49,47.63,105700
25-Aug-04,47.69,47.83,47.07,47.81,208600
24-Aug-04,47.62,47.73,47.19,47.59,236800
23-Aug-04,48.40,48.58,47.58,47.64,394600
20-Aug-04,47.98,48.28,47.63,48.21,254900
19-Aug-04,47.68,47.94,47.41,47.89,253700
18-Aug-04,47.45,47.73,47.15,47.72,282900
17-Aug-04,47.39,47.89,47.09,47.45,390500
16-Aug-04,46.05,46.98,45.98,46.98,299000
13-Aug-04,46.10,46.19,45.71,45.88,151300
12-Aug-04,46.41,46.41,45.91,46.00,221300
11-Aug-04,46.30,46.40,45.90,46.16,260900
10-Aug-04,45.75,46.47,45.50,46.47,388300
9-Aug-04,46.15,46.48,45.50,45.55,353400
6-Aug-04,46.15,46.61,45.72,45.85,449000
5-Aug-04,47.68,47.85,46.40,46.53,455900
4-Aug-04,47.85,48.05,47.55,47.78,349600
3-Aug-04,48.12,48.22,47.77,47.95,232800
2-Aug-04,47.62,48.28,47.58,48.22,366700
30-Jul-04,47.32,47.65,47.00,47.62,359300
29-Jul-04,45.80,47.41,45.80,47.41,477500
28-Jul-04,44.65,45.75,44.30,45.67,280600
27-Jul-04,44.59,45.07,44.37,44.82,188600
26-Jul-04,45.04,45.21,44.35,44.59,187300
23-Jul-04,45.34,45.63,45.02,45.03,226900
22-Jul-04,45.54,45.69,45.00,45.32,358900
21-Jul-04,46.37,46.67,45.48,45.56,203600
20-Jul-04,45.98,46.34,45.70,46.31,269300
19-Jul-04,46.30,46.30,45.82,45.98,189200
16-Jul-04,46.10,46.57,45.90,46.06,198800
15-Jul-04,45.80,46.01,45.64,45.66,199700
14-Jul-04,46.00,46.11,45.54,45.67,331400
13-Jul-04,46.12,46.20,45.83,46.14,122300
12-Jul-04,46.16,46.22,45.70,45.97,176400
9-Jul-04,46.22,46.49,45.94,46.16,174600
8-Jul-04,46.43,46.51,46.09,46.26,366300
7-Jul-04,45.73,46.54,45.68,46.47,268800
6-Jul-04,46.52,46.52,45.70,45.72,318200
2-Jul-04,46.55,46.85,46.16,46.52,221000
1-Jul-04,47.55,47.67,45.85,46.55,337000
30-Jun-04,47.22,47.65,47.22,47.55,244600
29-Jun-04,46.70,47.42,46.43,47.41,281000
28-Jun-04,47.05,47.15,46.36,46.59,522400
25-Jun-04,47.15,47.45,46.77,46.94,302600
24-Jun-04,47.51,47.94,46.89,47.04,281800
23-Jun-04,46.87,47.53,46.80,47.48,254400
22-Jun-04,46.80,46.84,46.23,46.84,264500
21-Jun-04,46.72,47.11,46.69,47.00,245700
18-Jun-04,46.40,46.97,46.40,46.78,292500
17-Jun-04,46.02,46.49,45.92,46.49,264200
16-Jun-04,45.84,46.60,45.76,46.11,343300
15-Jun-04,45.48,45.99,45.20,45.80,292200
14-Jun-04,45.70,45.70,45.12,45.23,341600
10-Jun-04,45.66,45.98,45.56,45.76,247600
9-Jun-04,45.70,45.75,45.39,45.56,358000
8-Jun-04,45.49,45.70,44.95,45.70,239000
7-Jun-04,44.95,45.49,44.80,45.49,254800
4-Jun-04,44.87,45.21,44.48,44.91,244400
3-Jun-04,44.73,45.00,44.49,44.77,205800
2-Jun-04,44.90,45.20,44.54,44.96,280200
1-Jun-04,44.75,45.01,44.56,44.73,312600
28-May-04,44.53,44.83,44.42,44.76,226100
27-May-04,44.50,44.50,44.50,44.50,0
26-May-04,44.40,44.51,43.82,44.00,206900
25-May-04,43.68,44.70,43.37,44.61,446100
24-May-04,43.26,43.72,43.18,43.68,267200
21-May-04,43.10,43.60,42.90,43.16,220700
20-May-04,42.83,42.83,42.83,42.83,0
19-May-04,43.05,43.58,42.47,42.55,354600
18-May-04,42.45,42.93,42.33,42.82,259300
17-May-04,42.72,42.90,42.25,42.42,435200
14-May-04,42.65,43.25,42.50,43.12,374800
13-May-04,42.58,42.58,42.58,42.58,0
12-May-04,42.40,42.71,41.94,42.58,659600
11-May-04,42.51,42.70,42.29,42.35,513000
10-May-04,43.30,43.43,42.05,42.76,602400
7-May-04,45.05,45.10,43.70,43.70,707700
6-May-04,45.20,45.20,45.20,45.20,0
5-May-04,46.00,46.20,45.58,45.92,234200
4-May-04,46.26,46.46,45.74,46.10,406000
3-May-04,46.08,46.36,45.77,46.19,385000
30-Apr-04,46.64,46.83,46.10,46.24,329400
29-Apr-04,46.68,46.68,46.68,46.68,0
28-Apr-04,47.98,47.98,46.90,46.96,188100
27-Apr-04,47.68,48.09,47.51,47.94,271300
26-Apr-04,48.12,48.45,47.44,47.69,269200
23-Apr-04,48.35,48.39,47.82,48.20,220300
22-Apr-04,48.50,48.50,48.50,48.50,0
21-Apr-04,47.72,48.05,47.42,48.05,248300
20-Apr-04,47.69,48.19,47.69,47.71,433800
19-Apr-04,47.45,47.86,47.40,47.74,472800
16-Apr-04,47.70,47.95,47.23,47.68,647500
15-Apr-04,47.18,47.18,47.18,47.18,0
14-Apr-04,46.67,46.89,46.13,46.45,374000
13-Apr-04,47.48,47.90,46.68,46.68,439200
12-Apr-04,47.34,47.62,47.18,47.43,171400
8-Apr-04,47.02,47.02,47.02,47.02,0
7-Apr-04,47.63,48.05,47.01,47.32,333800
6-Apr-04,47.35,48.38,47.28,48.09,343900
5-Apr-04,47.75,48.09,47.55,47.88,305000
2-Apr-04,48.48,48.49,47.81,47.89,301600
1-Apr-04,48.05,48.05,48.05,48.05,0
31-Mar-04,46.97,47.64,46.66,47.44,361100
30-Mar-04,46.90,47.17,46.40,46.96,797500
29-Mar-04,46.30,47.16,46.16,46.86,348600
26-Mar-04,46.20,46.46,46.00,46.26,212500
25-Mar-04,46.44,46.44,46.44,46.44,0
24-Mar-04,46.32,46.56,45.71,45.93,196100
23-Mar-04,46.48,46.50,45.65,46.21,365200
22-Mar-04,46.19,46.57,45.76,46.35,382900
19-Mar-04,46.39,46.71,46.10,46.18,331900
18-Mar-04,46.40,46.40,46.40,46.40,0
17-Mar-04,46.66,47.01,46.42,46.70,296000
16-Mar-04,46.35,46.74,46.12,46.48,347100
15-Mar-04,46.90,47.05,45.99,46.09,339600
12-Mar-04,46.20,47.07,46.15,47.07,343200
11-Mar-04,46.22,46.22,46.22,46.22,0
10-Mar-04,46.60,47.32,46.30,46.49,420400
9-Mar-04,47.35,47.35,46.65,46.81,346700
8-Mar-04,48.00,48.00,47.10,47.26,323700
5-Mar-04,47.98,48.25,47.66,48.00,232400
4-Mar-04,48.00,48.00,48.00,48.00,0
3-Mar-04,48.00,48.00,47.44,47.85,294900
2-Mar-04,47.82,48.35,47.54,48.01,536500
1-Mar-04,47.35,47.94,47.35,47.82,301700
27-Feb-04,46.50,47.69,46.42,47.30,446300
26-Feb-04,46.50,46.50,46.50,46.50,0
25-Feb-04,46.23,46.72,45.77,46.67,253900
24-Feb-04,46.52,46.94,46.34,46.49,253000
23-Feb-04,46.30,46.62,46.22,46.50,461200
20-Feb-04,46.37,46.57,45.91,46.46,457200
19-Feb-04,46.14,46.14,46.14,46.14,0
18-Feb-04,46.75,46.75,46.12,46.27,374900
17-Feb-04,46.02,46.78,46.02,46.74,394600
13-Feb-04,46.83,46.83,46.07,46.10,287300
12-Feb-04,46.84,46.84,46.84,46.84,0
11-Feb-04,47.00,47.13,46.50,47.01,519000
10-Feb-04,47.23,47.32,46.94,47.23,397300
9-Feb-04,47.50,47.65,46.95,47.20,248000
6-Feb-04,46.80,47.52,46.80,47.50,404900
5-Feb-04,46.90,46.90,46.90,46.90,0
4-Feb-04,47.30,47.41,46.11,46.50,449900
3-Feb-04,48.15,48.38,47.80,47.80,617300
2-Feb-04,47.20,47.99,47.13,47.67,539600
30-Jan-04,48.30,48.40,47.70,47.70,452900
29-Jan-04,48.20,48.20,48.20,48.20,0
28-Jan-04,49.92,49.96,48.75,48.84,476100
27-Jan-04,50.00,50.10,49.64,49.69,492500
26-Jan-04,49.40,50.12,49.40,50.12,332200
23-Jan-04,49.95,50.07,49.11,49.55,327400
22-Jan-04,49.70,49.70,49.70,49.70,0
21-Jan-04,48.90,50.00,48.90,49.82,343600
20-Jan-04,49.65,49.65,48.45,49.19,478800
16-Jan-04,50.13,50.25,49.35,49.53,341100
15-Jan-04,49.49,50.07,49.25,49.93,469100
14-Jan-04,49.61,49.97,49.20,49.50,207500
13-Jan-04,49.95,49.98,49.29,49.60,371500
12-Jan-04,49.42,49.71,49.27,49.39,476800
9-Jan-04,48.90,49.50,48.90,49.19,877800
8-Jan-04,48.92,48.92,48.92,48.92,0
7-Jan-04,49.80,49.97,49.21,49.70,521600
6-Jan-04,49.98,49.99,49.43,49.60,542100
5-Jan-04,50.00,50.53,49.24,50.11,1294600
2-Jan-04,47.75,47.81,46.96,47.21,220000
31-Dec-03,48.05,48.05,47.27,47.57,323900
30-Dec-03,47.81,47.81,47.81,47.81,0
29-Dec-03,48.20,48.48,48.19,48.25,327100
26-Dec-03,48.13,48.40,48.10,48.21,62600
24-Dec-03,48.17,48.24,47.94,48.02,101500
23-Dec-03,48.20,48.49,47.97,48.17,254000
22-Dec-03,47.90,48.27,47.88,48.24,198800
19-Dec-03,47.90,48.00,47.57,47.90,257600
18-Dec-03,47.75,47.75,47.75,47.75,0
17-Dec-03,47.57,47.59,46.61,46.75,349000
16-Dec-03,47.80,47.95,46.92,47.57,211900
15-Dec-03,48.00,48.60,47.47,47.60,381400
12-Dec-03,47.48,47.80,47.30,47.80,202800
11-Dec-03,47.48,47.48,47.48,47.48,0
10-Dec-03,47.17,47.17,46.26,46.50,278100
9-Dec-03,47.50,47.80,46.93,47.23,441500
8-Dec-03,45.93,47.48,45.85,47.47,522100
5-Dec-03,46.00,46.09,45.62,45.80,192700
4-Dec-03,46.10,46.10,46.10,46.10,0
3-Dec-03,46.00,46.35,45.70,45.84,381800
2-Dec-03,45.83,45.99,45.68,45.99,513300
1-Dec-03,44.65,45.87,44.50,45.87,389100
28-Nov-03,44.30,44.47,44.23,44.47,116200
26-Nov-03,44.50,44.67,43.69,44.35,155200
25-Nov-03,43.60,44.60,43.50,44.50,445600
24-Nov-03,43.83,43.83,43.83,43.83,0
21-Nov-03,43.30,43.55,42.95,43.11,192700
20-Nov-03,43.25,43.25,43.25,43.25,0
19-Nov-03,43.44,43.52,43.19,43.34,278800
18-Nov-03,44.10,44.32,43.41,43.43,162700
17-Nov-03,44.50,44.50,43.40,43.97,273100
14-Nov-03,44.75,45.03,44.41,44.50,141500
13-Nov-03,44.65,44.65,44.65,44.65,0
12-Nov-03,44.70,45.05,44.63,45.03,216200
11-Nov-03,44.82,45.03,44.60,44.63,226600
10-Nov-03,44.52,45.09,44.42,44.76,302800
7-Nov-03,45.01,45.01,44.41,44.47,262900
6-Nov-03,45.11,45.11,45.11,45.11,0
5-Nov-03,44.45,44.76,44.19,44.64,281000
4-Nov-03,44.63,44.63,44.25,44.41,518694
3-Nov-03,44.40,44.93,44.30,44.73,452300
31-Oct-03,44.65,44.85,44.26,44.31,255000
30-Oct-03,44.56,44.56,44.56,44.56,0
29-Oct-03,44.49,44.60,44.24,44.48,291100
28-Oct-03,44.00,45.32,43.90,44.49,803000
27-Oct-03,43.37,43.78,43.27,43.64,193100
24-Oct-03,43.25,43.37,42.86,43.37,177800
23-Oct-03,43.28,43.76,43.08,43.55,266800
22-Oct-03,43.33,43.33,43.33,43.33,0
21-Oct-03,43.95,43.95,43.35,43.67,255800
20-Oct-03,43.79,43.95,43.63,43.78,232700
17-Oct-03,44.77,44.77,43.72,43.78,371600
16-Oct-03,44.78,44.78,44.78,44.78,0
15-Oct-03,45.46,45.54,44.93,45.09,317500
14-Oct-03,45.33,45.89,45.06,45.46,885900
13-Oct-03,43.25,45.55,43.24,45.45,1500600
10-Oct-03,42.00,42.00,41.84,41.97,144700
9-Oct-03,42.00,42.00,42.00,42.00,0
8-Oct-03,42.39,42.55,41.92,42.00,212500
7-Oct-03,42.05,42.39,41.67,42.39,267500
6-Oct-03,41.72,42.40,41.70,42.05,194200
3-Oct-03,41.41,42.35,41.41,41.87,275900
2-Oct-03,41.30,41.30,41.30,41.30,0
1-Oct-03,39.91,40.87,39.76,40.87,348100
30-Sep-03,40.35,40.50,39.60,39.91,255900
29-Sep-03,39.62,40.40,39.55,40.38,290100
26-Sep-03,39.55,39.80,39.17,39.61,298700
25-Sep-03,39.66,39.66,39.66,39.66,0
24-Sep-03,40.40,40.47,39.51,39.88,254900
23-Sep-03,40.63,40.65,40.24,40.54,240300
22-Sep-03,40.95,40.98,40.42,40.63,291600
19-Sep-03,40.70,41.02,40.41,41.02,262500
18-Sep-03,40.78,40.78,40.78,40.78,0
17-Sep-03,40.70,41.35,39.55,40.27,1590500
16-Sep-03,42.20,42.99,42.20,42.89,272400
15-Sep-03,42.05,42.63,42.02,42.56,274800
12-Sep-03,40.25,42.04,40.25,42.04,563000
11-Sep-03,40.49,40.98,40.30,40.79,180700
10-Sep-03,41.00,41.17,40.36,40.49,249200
9-Sep-03,41.69,41.71,41.20,41.41,132900
8-Sep-03,41.25,41.91,40.95,41.90,197900
5-Sep-03,41.54,41.60,40.68,41.03,208700
4-Sep-03,42.40,42.70,41.32,41.74,345400
3-Sep-03,42.34,42.68,42.12,42.68,242900
2-Sep-03,41.70,42.29,41.20,42.28,185600
29-Aug-03,41.09,41.47,40.96,41.41,104200
28-Aug-03,41.10,41.35,40.55,41.34,112500
27-Aug-03,41.28,41.28,40.50,41.14,164300
26-Aug-03,41.03,41.30,40.47,41.19,175800
25-Aug-03,40.75,41.39,40.70,41.22,157000
22-Aug-03,41.95,42.14,40.95,41.11,165700
21-Aug-03,41.64,42.08,41.31,41.94,210500
20-Aug-03,41.85,42.18,41.62,41.66,153700
19-Aug-03,41.38,42.23,41.35,42.17,307000
18-Aug-03,41.37,41.50,41.18,41.48,126200
15-Aug-03,41.00,41.38,40.95,41.37,146500
14-Aug-03,40.09,41.15,39.75,41.07,328900
13-Aug-03,40.26,40.36,39.80,40.09,149700
12-Aug-03,39.95,40.28,39.74,40.26,220100
11-Aug-03,40.30,40.38,39.47,40.07,259400
8-Aug-03,39.74,40.30,39.58,40.30,216000
7-Aug-03,39.60,39.87,39.20,39.74,240400
6-Aug-03,39.75,40.00,39.59,39.66,414000
5-Aug-03,40.15,40.43,39.72,39.86,366600
4-Aug-03,39.45,40.18,39.25,39.95,331400
1-Aug-03,40.15,40.15,39.80,39.85,457500
31-Jul-03,39.65,40.41,39.33,40.22,455400
30-Jul-03,39.84,40.23,39.57,39.72,544200
29-Jul-03,37.78,40.09,37.78,39.83,866800
28-Jul-03,37.12,37.78,36.63,37.78,422800
25-Jul-03,37.25,37.25,36.20,37.07,454200
24-Jul-03,37.38,37.95,37.10,37.35,262000
23-Jul-03,37.45,37.45,37.05,37.42,198100
22-Jul-03,36.68,37.20,36.40,37.10,238900
21-Jul-03,36.90,36.90,36.30,36.62,254300
18-Jul-03,36.95,37.20,36.62,37.09,141900
17-Jul-03,36.95,37.05,36.46,36.63,150600
16-Jul-03,37.20,37.32,36.63,36.85,238600
15-Jul-03,38.02,38.23,37.06,37.15,287200
14-Jul-03,38.20,38.43,37.90,38.05,162500
11-Jul-03,38.06,38.19,37.55,37.90,134600
10-Jul-03,38.20,38.25,37.65,38.05,178600
9-Jul-03,38.38,38.40,37.97,38.27,130500
8-Jul-03,38.85,38.85,38.23,38.48,208200
7-Jul-03,37.28,38.54,37.28,38.53,302700
3-Jul-03,37.20,37.37,36.90,37.17,139900
2-Jul-03,37.30,37.69,37.04,37.69,234700
1-Jul-03,37.07,37.27,36.24,37.25,280800
30-Jun-03,37.10,37.35,36.57,37.07,419600
27-Jun-03,37.60,37.60,36.91,36.95,354900
26-Jun-03,36.89,37.67,36.81,37.52,201400
25-Jun-03,37.50,37.81,37.12,37.14,176400
24-Jun-03,37.75,37.80,37.24,37.60,226600
23-Jun-03,37.53,37.56,36.95,37.25,199100
20-Jun-03,38.90,38.91,37.58,37.63,518300
19-Jun-03,39.80,39.82,38.63,38.65,375100
18-Jun-03,39.85,39.95,39.28,39.55,225500
17-Jun-03,39.60,39.93,39.20,39.80,202400
16-Jun-03,39.10,39.90,39.08,39.65,298000
13-Jun-03,39.40,39.45,38.71,38.95,245000
12-Jun-03,39.14,39.36,38.70,39.26,225300
11-Jun-03,38.45,39.16,38.10,39.13,427600
10-Jun-03,37.40,38.49,37.36,38.20,280200
9-Jun-03,38.60,38.68,37.13,37.29,332300
6-Jun-03,38.35,38.92,38.22,38.60,401100
5-Jun-03,37.73,38.44,37.45,38.40,309300
4-Jun-03,36.87,37.73,36.85,37.73,232800
3-Jun-03,37.38,37.42,36.52,36.87,273800
2-Jun-03,37.20,37.70,36.91,37.48,402100
30-May-03,36.12,36.64,36.10,36.64,291200
29-May-03,36.88,37.10,35.80,36.12,316900
28-May-03,36.53,36.98,36.50,36.88,311300
27-May-03,35.80,36.70,35.50,36.70,275700
23-May-03,35.48,35.80,35.31,35.80,283200
22-May-03,35.12,35.52,35.01,35.48,273800
21-May-03,34.75,35.19,34.54,35.15,286300
20-May-03,35.08,35.46,34.79,35.26,259900
19-May-03,35.62,35.62,34.95,35.28,627400
16-May-03,35.75,35.81,34.98,35.72,391900
15-May-03,35.75,35.80,35.15,35.67,210900
14-May-03,35.95,35.97,35.25,35.50,270400
13-May-03,35.90,35.93,35.53,35.77,293700
12-May-03,35.40,35.98,35.25,35.90,244500
9-May-03,35.15,35.44,34.94,35.40,227000
8-May-03,35.15,35.45,34.90,34.99,270100
7-May-03,35.35,35.84,35.07,35.34,379200
6-May-03,35.35,35.77,35.00,35.48,383400
5-May-03,35.15,35.46,34.60,34.82,310500
