Date,Open,High,Low,Close,Volume,Adj Close
2003-04-23,51.70,51.83,50.99,51.59,4431400,13.57
2003-04-22,51.07,51.90,50.70,51.75,4642100,13.61
2003-04-21,51.05,51.49,50.97,51.07,3631500,13.43
2003-04-17,50.77,51.39,50.77,51.25,5011800,13.48
2003-04-16,51.30,51.40,50.55,50.77,4504100,13.35
2003-04-15,51.35,51.56,51.02,51.21,5906200,13.47
2003-04-14,51.00,51.36,50.87,51.30,4199300,13.49
2003-04-11,51.10,51.40,50.90,51.07,3820900,13.43
2003-04-10,50.90,51.20,50.82,51.00,5514200,13.41
2003-04-09,51.35,51.55,50.76,50.90,5580000,13.39
2003-04-08,51.20,51.40,50.93,51.25,4828100,13.48
2003-04-07,52.95,53.25,51.60,51.73,7565000,13.61
2003-04-04,53.00,53.00,52.30,52.60,5847700,13.83
2003-04-03,53.44,53.65,52.00,52.31,6566500,13.76
2003-04-02,54.00,54.01,52.85,53.35,9256200,14.03
2003-04-01,53.80,54.25,53.55,54.02,5449100,14.21
2003-03-31,53.59,53.85,53.14,53.60,5957600,14.10
2003-03-28,52.60,53.83,52.55,53.59,6090600,14.09
2003-03-27,51.88,53.06,51.70,52.65,6154300,13.85
2003-03-26,52.12,52.32,51.70,51.87,4941500,13.64
2003-03-25,51.50,52.60,51.30,52.02,4927000,13.68
2003-03-24,51.66,51.95,50.67,51.08,5732700,13.43
2003-03-21,52.30,52.34,51.55,51.65,6604000,13.58
2003-03-20,51.38,52.24,51.05,52.08,6101100,13.70
2003-03-19,51.20,51.60,50.82,51.38,5822500,13.51
2003-03-18,51.00,51.00,49.70,50.92,7745300,13.39
2003-03-17,50.58,51.50,50.55,51.00,9071000,13.41
2003-03-14,50.36,50.58,49.75,50.58,5881800,13.30
2003-03-13,50.35,50.36,49.80,50.26,4806900,13.22
2003-03-12,50.71,50.71,49.25,49.70,8573600,13.07
2003-03-11,51.05,51.45,50.65,50.71,5727200,13.34
2003-03-10,51.60,51.83,50.80,50.93,5011300,13.39
2003-03-07,50.81,51.71,50.68,51.60,9650500,13.57
2003-03-06,51.00,51.44,50.61,50.81,9157600,13.36
2003-03-05,51.50,51.95,51.13,51.38,6693200,13.51
2003-03-04,51.75,51.84,51.38,51.50,7379300,13.54
2003-03-03,51.10,51.85,51.10,51.75,8034700,13.61
2003-02-28,51.15,51.29,50.55,50.70,7073100,13.33
2003-02-27,50.96,51.08,50.38,50.70,8300200,13.33
2003-02-26,49.96,50.69,49.69,50.28,7761600,13.22
2003-02-25,49.67,50.10,49.42,49.96,6746000,13.14
2003-02-24,50.00,50.39,49.44,49.67,5682900,13.06
2003-02-21,48.70,50.30,48.60,49.94,7471400,13.13
2003-02-20,49.50,49.72,48.56,48.58,4785600,12.78
2003-02-19,49.47,49.69,49.01,49.49,3821700,13.02
2003-02-18,48.70,49.44,48.48,49.27,4742300,12.96
2003-02-14,48.00,48.73,47.70,48.72,4180100,12.71
2003-02-13,47.95,48.10,47.35,47.93,3932400,12.50
2003-02-12,48.15,48.69,47.85,47.88,4578400,12.49
2003-02-11,49.00,49.32,48.26,48.51,5055600,12.65
2003-02-10,48.45,49.05,48.42,48.81,4462900,12.73
2003-02-07,48.95,49.14,48.56,48.66,4865900,12.69
2003-02-06,49.42,49.42,48.50,48.85,6359500,12.74
2003-02-05,50.44,50.45,49.36,49.41,4839900,12.89
2003-02-04,49.58,50.40,48.93,50.05,7108000,13.06
2003-02-03,48.19,49.75,48.03,49.58,6939100,12.93
2003-01-31,47.30,48.59,47.00,48.19,5813300,12.57
2003-01-30,48.01,48.39,47.42,47.45,8266600,12.38
2003-01-29,46.30,48.07,45.70,48.01,7840500,12.52
2003-01-28,45.60,46.26,45.16,45.91,4385000,11.98
2003-01-27,46.37,46.45,45.14,45.31,4948300,11.82
2003-01-24,47.35,47.44,46.10,46.37,6409400,12.10
2003-01-23,47.60,47.75,47.23,47.55,4866200,12.40
2003-01-22,47.30,47.73,46.53,47.46,6885000,12.38
2003-01-21,47.56,47.70,47.17,47.40,5565100,12.36
2003-01-17,48.26,48.55,48.01,48.11,4527200,12.55
2003-01-16,48.22,48.45,48.04,48.25,5020400,12.59
2003-01-15,47.75,48.20,47.30,47.72,6823100,12.45
2003-01-14,47.25,47.74,46.88,47.74,7310600,12.45
2003-01-13,46.90,47.25,46.45,47.17,6846700,12.30
2003-01-10,47.80,47.81,46.60,46.69,6908100,12.18
2003-01-09,47.35,48.09,47.35,48.01,6861400,12.52
2003-01-08,48.44,48.75,47.58,47.59,8275800,12.41
2003-01-07,49.85,50.00,48.31,48.44,8279500,12.64
2003-01-06,49.50,50.50,49.25,50.33,6230400,13.13
2003-01-03,49.53,49.72,49.25,49.40,3661400,12.89
2003-01-02,48.80,49.40,48.46,49.33,5370700,12.87
2002-12-31,48.56,48.66,47.74,48.39,4519900,12.62
2002-12-30,48.05,48.55,47.79,48.55,4257500,12.66
2002-12-27,48.75,48.95,47.60,47.82,2944700,12.47
2002-12-26,49.20,49.74,48.49,48.58,3706300,12.67
2002-12-24,49.65,49.70,49.08,49.14,2248900,12.82
2002-12-23,49.94,50.00,49.43,49.70,5799400,12.96
2002-12-20,49.05,49.93,48.92,49.93,7321300,13.02
2002-12-19,48.95,49.46,48.60,48.86,6629200,12.75
2002-12-18,49.15,49.85,49.10,49.28,6311200,12.85
2002-12-17,49.61,49.97,49.35,49.79,7313200,12.99
2002-12-16,48.50,49.61,48.42,49.61,8486700,12.94
2002-12-13,49.00,49.33,48.16,48.40,10018900,12.63
2002-12-12,49.40,49.64,48.70,49.25,8076400,12.85
2002-12-11,50.30,50.30,49.50,49.58,4999400,12.93
2002-12-10,49.80,50.33,49.25,50.29,4877700,13.12
2002-12-09,50.15,50.75,49.65,49.68,6095600,12.96
2002-12-06,49.89,50.33,49.56,49.92,6074900,13.02
2002-12-05,49.60,50.15,49.40,49.89,5003900,13.01
2002-12-04,48.98,49.48,48.75,49.25,5159500,12.85
2002-12-03,48.45,49.24,48.21,48.97,5884400,12.77
2002-12-02,49.00,49.03,47.30,47.89,6854600,12.49
2002-11-29,48.35,48.35,47.64,47.81,2812200,12.47
2002-11-27,47.50,48.29,47.45,48.08,5014900,12.54
2002-11-26,48.50,48.50,47.25,47.30,6329100,12.34
2002-11-25,47.65,48.62,47.42,48.44,7773100,12.64
2002-11-22,49.94,49.94,47.42,48.55,9015100,12.66
2002-11-21,49.94,49.97,49.22,49.94,4418100,13.03
2002-11-20,49.00,49.57,48.74,49.57,6754900,12.93
2002-11-19,49.56,49.85,48.56,48.70,4752600,12.70
2002-11-18,49.00,49.49,48.58,49.49,3393600,12.91
2002-11-15,48.24,48.89,48.14,48.75,5028300,12.72
2002-11-14,47.20,48.30,46.85,48.24,6581200,12.58
2002-11-13,47.80,48.10,46.14,46.60,4578900,12.16
2002-11-12,48.25,48.40,47.64,47.92,4028700,12.50
2002-11-11,49.05,49.30,47.84,48.08,3182400,12.54
2002-11-08,49.40,49.88,48.85,49.23,4344900,12.84
2002-11-07,49.00,49.35,48.56,49.20,6161700,12.83
2002-11-06,49.10,49.25,47.57,49.00,5974600,12.78
2002-11-05,48.10,48.82,47.61,48.45,4619300,12.64
2002-11-04,48.50,48.50,47.10,47.69,5419000,12.44
2002-11-01,48.50,49.10,47.82,48.27,8694000,12.59
2002-10-31,49.90,49.99,48.15,48.50,10491700,12.65
2002-10-30,47.55,49.40,47.55,49.17,10072700,12.72
2002-10-29,47.50,47.50,45.92,46.74,5782300,12.09
2002-10-28,48.05,49.03,47.31,48.06,4294800,12.43
2002-10-25,47.43,48.10,46.56,47.48,5701800,12.28
2002-10-24,48.60,48.63,46.95,47.21,5144500,12.21
2002-10-23,47.20,48.20,46.70,47.95,6024500,12.41
2002-10-22,47.65,47.80,46.40,47.20,7377700,12.21
2002-10-21,48.76,48.95,47.91,48.59,4216600,12.57
2002-10-18,49.00,49.47,48.13,48.91,3625200,12.65
2002-10-17,49.25,49.44,48.57,49.27,5698100,12.75
